school,city,county,applied,admitted,attended,tot_enrolled,grade_12,is_charter,pct_free_reduced,dist_to_ucb_miles
ANIMO WATTS COLLGE PREP ACDMY,Los Angeles,Los Angeles,21,3,NA,541,116,Y,0.87245841,352.9576051715893
ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,82,7,4,1510,369,N,0.298675497,59.01659564825149
ANTELOPE HIGH SCHOOL,Antelope,Sacramento,37,3,NA,NA,NA,NA,NA,NA
ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,14,3,NA,1512,381,N,0.763227513,317.6752287724186
ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,36,NA,NA,1823,398,N,0.759736698,25.879496757636147
APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,31,NA,NA,2163,540,N,0.540915395,367.7126641725894
APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,9,NA,NA,376,114,N,0.635638298,353.67850437700963
APTOS HIGH SCHOOL,Aptos,Santa Cruz,53,8,6,1316,328,N,0.320668693,65.62523800944395
ARAGON HIGH SCHOOL,San Mateo,San Mateo,197,27,16,1686,435,N,0.148279953,22.61572434813877
ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,371,51,29,3004,788,N,0.289280959,349.92090741948294
ARCATA HIGH SCHOOL,Arcata,Humboldt,32,5,NA,1011,229,N,0.387734916,229.37099961814044
ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,93,9,6,1181,312,N,0.105842506,18.69849394484048
ARGONAUT HIGH SCHOOL,Jackson,Amador,7,NA,NA,594,136,N,0.387205387,86.44457831983937
ARISE HIGH SCHOOL,Oakland,Alameda,15,4,4,400,96,Y,0.7725,6.91003446021157
ARLETA HIGH SCHOOL,Arleta,Los Angeles,18,3,NA,1092,245,N,0.781135531,328.6523969909575
ARLINGTON HIGH SCHOOL,Riverside,Riverside,21,3,NA,1967,440,N,0.455007626,384.50669575361906
ARMIJO HIGH SCHOOL,Fairfield,Solano,27,4,NA,1899,415,N,0.547130068,28.752547415508232
ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,235,35,20,2713,652,N,0.262071508,381.1645834120586
ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,54,6,5,1976,490,N,0.390182186,212.4464705046275
ARROYO HIGH SCHOOL,El Monte,Los Angeles,42,8,NA,1698,440,N,0.726737338,352.5244903799839
ARROYO HIGH SCHOOL,San Lorenzo,Alameda,88,10,9,1542,404,N,0.486381323,14.798836549518043
ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,43,5,NA,2730,707,N,0.873992674,377.914736452827
ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,17,NA,NA,1441,384,N,0.777238029,363.6670550495875
ARVIN HIGH SCHOOL,Arvin,Kern,39,7,5,2728,713,N,0.896627566,264.1894892545823
ASPIRE ALEXANDER TWILIGHT SCND,Sacramento,Sacramento,10,NA,NA,473,50,Y,0.794926004,68.82643511777033
ASPIRE BENJAMIN HOLT COLG PREP,Stockton,San Joaquin,36,5,3,694,164,Y,0.518731988,54.85875039594077
ASPIRE GOLDEN STATE COLLG PREP ACAD,Oakland,Alameda,17,NA,NA,436,66,Y,0.848623853,8.490113835524236
ASPIRE LANGSTON HUGHES ACADEMY,Stockton,San Joaquin,16,4,NA,756,88,Y,0.62962963,53.84390173226878
ASPIRE LIONEL WILSON COLG PREP,Oakland,Alameda,18,4,4,406,62,Y,0.763546798,10.782028369445822
ASPIRE OLLIN UNIV PREP ACDMY,Huntington Park,Los Angeles,11,3,NA,557,78,Y,0.942549372,350.4360440612896
ASPIRE PACIFIC ACADEMY,Huntington Park,Los Angeles,8,NA,NA,560,78,Y,0.875,350.4560177997746
ASPIRE RICHMOND CA COLG PREP,Richmond,Contra Costa,26,6,5,595,77,Y,0.680672269,8.18602641925716
ASPIRE VANGUARD COL PREP ACAD,Modesto,Stanislaus,9,NA,NA,621,67,Y,0.69726248,70.85081774151739
ASSURANCE LEARNING ACADEMY,Lancaster,Los Angeles,11,NA,NA,3111,299,Y,0.794278367,319.2385048358234
ATASCADERO HIGH SCHOOL,Atascadero,San Luis Obispo,16,NA,NA,1114,244,N,0.317773788,187.02643867614375
ATWATER HIGH SCHOOL,Atwater,Merced,34,5,NA,2051,504,N,0.664553876,96.53784797622394
AUDEO CHARTER SCHOOL I,San Diego,San Diego,6,NA,NA,402,57,Y,0.59950248799999994,446.6471584848444
AVENAL HIGH SCHOOL,Avenal,Kings,11,4,NA,750,176,N,0.917333333,174.38101044590567
AVESON GLOBAL LEADERSHIP ACADEMY,Altadena,Los Angeles,6,NA,NA,207,33,Y,0.333333333,347.7884167661021
AZUSA HIGH SCHOOL,Azusa,Los Angeles,30,9,4,1729,432,N,0.781954887,355.4797182217167
BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern,24,NA,NA,3024,823,N,0.781415344,249.24084565849316
BALBOA HIGH SCHOOL,San Francisco,San Francisco,130,17,12,1251,326,N,0.566746603,14.312188741246787
BALDWIN PARK HIGH SCHOOL,Baldwin Park,Los Angeles,14,NA,NA,1409,357,N,0.770049681,355.72551617048885
BANNING HIGH SCHOOL,Banning,Riverside,10,NA,NA,1146,251,N,0.751308901,406.5220598185341
BASSETT HIGH SCHOOL,La Puente,Los Angeles,13,NA,NA,793,218,N,0.825977301,356.38385805810424
BAY AREA TECHNOLOGY-BAYTECH,Oakland,Alameda,14,3,NA,309,50,Y,0.705501618,9.311522530349404
BAYFRONT CHARTER HIGH SCHOOL,Chula Vista,San Diego,7,NA,NA,NA,NA,NA,NA,NA
BEAR CREEK HIGH SCHOOL,Stockton,San Joaquin,28,7,3,1880,445,N,0.556382979,50.992259679667114
BEAR RIVER HIGH SCHOOL,Grass Valley,Nevada,9,NA,NA,634,122,N,0.255520505,106.73117607947982
BEAUMONT HIGH SCHOOL,Beaumont,Riverside,37,5,NA,3336,754,N,0.50029976,399.92266190462186
BELL GARDENS HIGH SCHOOL,Bell Gardens,Los Angeles,34,3,NA,2139,531,N,0.693782141,353.8244279163292
BELL HIGH SCHOOL,Bell,Los Angeles,55,10,4,2259,492,N,0.831783975,352.5735468242679
BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento,33,5,NA,1926,411,N,0.30529595,77.38775529136359
BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,33,3,NA,2062,361,N,0.698351115,359.6684268583724
BELMONT HIGH SCHOOL,Los Angeles,Los Angeles,13,3,NA,663,115,N,0.907993967,345.3061416584881
BENICIA HIGH SCHOOL,Benicia,Solano,60,7,4,1405,360,N,0.2113879,13.977155784168051
BENJAMIN FRANKLIN HIGH SCHOOL,Los Angeles,Los Angeles,43,5,NA,1350,317,N,0.806666667,344.7513626128331
BERKELEY HIGH SCHOOL,Berkeley,Alameda,319,73,37,3220,797,N,0.218322981,0.6821172140121529
BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles,80,14,6,1178,314,N,0.215619694,339.9834219818626
BIG BEAR HIGH SCHOOL,Big Bear City,San Bernardino,5,NA,NA,626,158,N,0.592651757,393.4562032834672
BIRMINGHAM COMMUNITY CHARTER HS,Lake Balboa,Los Angeles,126,21,8,3090,706,Y,0.765048544,329.7595797213494
BISHOP UNION HIGH SCHOOL,Bishop,Inyo,10,NA,NA,613,158,N,0.409461664,214.2159011370678
BLAIR HIGH SCHOOL,Pasadena,Los Angeles,28,3,NA,1055,151,N,0.551658768,346.18366011967584
BLOOMINGTON HIGH SCHOOL,Bloomington,San Bernardino,13,NA,NA,1864,466,N,0.736051502,377.8678497035354
BLUE RIDGE ACADEMY,Maricopa,Kern,12,4,NA,6931,192,Y,0.375559082,251.16367731691605
BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,47,11,5,1726,415,N,0.728273465,372.3236512452795
BONITA HIGH SCHOOL,La Verne,Los Angeles,42,6,NA,1866,448,N,0.255091104,361.4673385514401
BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego,86,15,9,2049,596,N,0.307467057,467.1628553535618
BONSALL HIGH SCHOOL,Bonsall,San Diego,9,NA,NA,331,83,N,0.438066465,425.94062848743937
BOSTONIA GLOBAL,El Cajon,San Diego,5,NA,NA,1175,24,Y,0.58893617,460.9202241337316
BOYLE HEIGHTS STEM MAGNET HIGH SCH,Los Angeles,Los Angeles,11,NA,NA,NA,NA,NA,NA,NA
BRANHAM HIGH SCHOOL,San Jose,Santa Clara,128,13,11,1955,508,N,0.215856777,47.01980101729667
BRAWLEY UNION HIGH SCHOOL,Brawley,Imperial,14,NA,NA,1840,396,N,0.667391304,507.14910323200337
BREA OLINDA HIGH SCHOOL,Brea,Orange,81,9,NA,1710,416,N,0.212280702,366.48447505833906
BRET HARTE UNION HIGH SCHOOL,Angels Camp,Calaveras,6,NA,NA,566,123,N,0.45229682,94.11689469496008
BRIO COLLEGE PREP,Los Angeles,Los Angeles,33,3,NA,496,136,Y,0.747983871,344.95319539990356
BUCHANAN HIGH SCHOOL,Clovis,Fresno,61,11,6,2606,631,N,0.241749808,156.42653851492898
BUCKINGHAM COLLEGIATE CHARTER,Vacaville,Solano,10,NA,NA,474,97,Y,0.196202532,36.76853395870834
BUENA HIGH SCHOOL,Ventura,Ventura,20,NA,NA,1685,409,N,0.339465875,300.8898700845978
BUENA PARK HIGH SCHOOL,Buena Park,Orange,31,7,NA,1726,411,N,0.699304751,366.3284014938671
BUHACH COLONY HIGH SCHOOL,Atwater,Merced,30,NA,NA,1658,414,N,0.633293124,99.85345226269646
BULLARD HIGH SCHOOL,Fresno,Fresno,44,4,NA,2371,530,N,0.439898777,153.00028602929112
BURBANK HIGH SCHOOL,Burbank,Los Angeles,111,14,6,2471,591,N,0.352488871,336.6046010822385
BURLINGAME HIGH SCHOOL,Burlingame,San Mateo,164,13,4,1540,415,N,0.116233766,20.645939263857255
C K MCCLATCHY HIGH SCHOOL,Sacramento,Sacramento,96,13,7,2481,559,N,0.510278114,62.68943327989281
CA ONLINE PUBLIC SCH CENTRAL VALLEY,Ripon,San Joaquin,6,NA,NA,NA,NA,NA,NA,NA
CA ONLINE PUBLIC SCH MONTEREY BAY,Ripon,San Joaquin,7,NA,NA,NA,NA,NA,NA,NA
CA ONLINE PUBLIC SCH NORTHERN CA,Ripon,San Joaquin,18,NA,NA,NA,NA,NA,NA,NA
CA ONLINE PUBLIC SCHOOLS SOUTHRN CA,San Juan Capistrano,Orange,28,NA,NA,NA,NA,NA,NA,NA
CA SCH ARTS SAN GABRIEL VALLEY,Duarte,Los Angeles,62,11,4,935,254,Y,0.178609626,352.23494598056504
CABRILLO HIGH SCHOOL,Lompoc,Santa Barbara,16,NA,NA,1074,284,N,0.393854749,239.89685599115316
CABRILLO POINT ACADEMY,El Cajon,San Diego,7,NA,NA,4884,126,Y,0.302006552,450.24855029376266
CAJON HIGH SCHOOL,San Bernardino,San Bernardino,52,4,3,2662,643,N,0.685574756,376.4014927225432
CALABASAS HIGH SCHOOL,Calabasas,Los Angeles,121,32,18,1721,454,N,0.160952934,328.3802813429772
CALAVERAS HIGH SCHOOL,San Andreas,Calaveras,7,NA,NA,749,154,N,0.384512684,88.69257330080129
CALEXICO HIGH SCHOOL,Calexico,Imperial,34,5,3,2718,657,N,0.772259014,523.9165472702563
CALIFORNIA ACAD MATH & SCIENCE,Carson,Los Angeles,115,24,11,667,163,N,0.307346327,355.9580329461794
CALIFORNIA CITY HIGH SCHOOL,California City,Kern,5,NA,NA,637,159,N,0.767660911,303.75997764228026
CALIFORNIA HIGH SCHOOL,San Ramon,Contra Costa,291,36,24,2869,715,N,0.082258627,19.09545768497867
CALIFORNIA HIGH SCHOOL,Whittier,Los Angeles,55,11,4,2376,619,N,0.642676768,360.267506966776
CALIFORNIA MILITARY INSTITUTE,Perris,Riverside,16,NA,NA,1044,114,Y,0.722222222,398.3458048879644
CALIFORNIA VIRTUAL ACADEMY LA,Simi Valley,Ventura,19,NA,NA,NA,NA,NA,NA,NA
CALIFORNIA VIRTUAL-SAN JOAQUIN,Simi Valley,Ventura,17,NA,NA,NA,NA,NA,NA,NA
CALIPATRIA HIGH SCHOOL,Calipatria,Imperial,9,NA,NA,334,70,N,0.751497006,500.76815625450183
CALISTOGA JUNIOR SENIOR HIGH SCHOOL,Calistoga,Napa,10,NA,NA,378,62,N,0.753968254,52.17683243197882
CAMINO NUEVO HIGH SCH DALZELL LANCE,Los Angeles,Los Angeles,18,NA,NA,496,112,Y,0.971774194,343.67792320998547
CAMPOLINDO HIGH SCHOOL,Moraga,Contra Costa,155,25,15,1332,342,N,0.04954955,7.381457615553086
CANOGA PARK HIGH SCHOOL,Canoga Park,Los Angeles,32,3,3,1456,294,N,0.877747253,325.84419352600946
CANYON CREST ACADEMY,San Diego,San Diego,346,29,19,2183,534,N,0.086578104,443.3841172628216
CANYON HIGH SCHOOL,Anaheim,Orange,121,10,5,2178,537,N,0.189623508,374.011799093273
CANYON HIGH SCHOOL,Canyon Country,Los Angeles,24,4,4,1966,442,N,0.323499491,318.091931056454
CANYON HILLS HIGH SCHOOL,San Diego,San Diego,45,3,3,1236,267,N,0.350323625,453.7263311792984
CANYON SPRINGS HIGH SCHOOL,Moreno Valley,Riverside,33,5,NA,2240,539,N,0.625,388.78564563253855
CAPISTRANO VALLEY HIGH SCHOOL,Mission Viejo,Orange,106,11,8,1981,527,N,0.303886926,394.48431846429094
CAPUCHINO HIGH SCHOOL,San Bruno,San Mateo,39,6,NA,1108,323,N,0.269855596,19.828773796103167
CARLMONT HIGH SCHOOL,Belmont,San Mateo,288,45,32,2360,587,N,0.086864407,25.25880799834454
CARLSBAD HIGH SCHOOL,Carlsbad,San Diego,79,8,3,2365,630,N,0.194080338,427.38419679940733
CARMEL HIGH SCHOOL,Carmel,Monterey,47,9,7,799,184,N,0.135168961,93.07977171855924
CARPINTERIA HIGH SCHOOL,Carpinteria,Santa Barbara,16,NA,NA,609,157,N,0.543513957,283.96770874597763
CARSON HIGH SCHOOL,Carson,Los Angeles,48,9,5,1378,313,N,0.730043541,357.7311948204191
CARUTHERS HIGH SCHOOL,Caruthers,Fresno,9,NA,NA,674,170,N,0.841246291,162.00715856059935
CASA GRANDE HIGH SCHOOL,Petaluma,Sonoma,45,4,NA,1631,433,N,0.340282036,31.33401460074872
CASA ROBLE FUNDAMENTAL HS,Orangevale,Sacramento,22,NA,NA,1103,261,N,0.446962829,80.56903089032475
CASTAIC HIGH SCHOOL,Castaic,Los Angeles,22,4,NA,1193,348,N,0.221290863,307.7501149284831
CASTLE PARK HIGH SCHOOL,Chula Vista,San Diego,26,8,4,1381,381,N,0.719044171,467.4590518957022
CASTLEMONT HIGH SCHOOL,Oakland,Alameda,19,NA,NA,698,149,N,0.967048711,9.41320867017492
CASTRO VALLEY HIGH SCHOOL,Castro Valley,Alameda,225,16,11,2842,666,N,0.276565799,15.20514384545226
CATCH PREP CHARTER HIGH,Los Angeles,Los Angeles,10,9,NA,123,27,Y,0.926829268,345.7069209072416
CATHEDRAL CITY HIGH SCHOOL,Cathedral City,Riverside,38,7,3,1370,351,N,0.948905109,429.8232554146959
CEIBA COLLEGE PREPARATORY ACAD,Watsonville,Santa Cruz,12,NA,NA,507,58,Y,0.682445759,72.26730410008477
CENTENNIAL HIGH SCHOOL,Bakersfield,Kern,31,NA,NA,2237,580,N,0.353151542,244.73062400228855
CENTENNIAL HIGH SCHOOL,Compton,Los Angeles,23,3,NA,968,191,N,0.839876033,353.48341781577096
CENTENNIAL HIGH SCHOOL,Corona,Riverside,77,19,7,2816,715,N,0.538707386,382.91450714325646
CENTER HIGH SCHOOL,Antelope,Sacramento,30,NA,NA,1367,359,N,0.456474031,75.20734316265036
CENTRAL CITY VALUE HIGH SCHOOL,Los Angeles,Los Angeles,10,NA,NA,470,104,Y,0.791489362,343.6803402090416
CENTRAL COAST NEW TECH HIGH SC,Nipomo,San Luis Obispo,12,NA,NA,286,53,N,0.395104895,218.55867536738123
CENTRAL EAST HIGH SCHOOL,Fresno,Fresno,15,3,NA,1754,426,N,0.696123147,150.6755619096911
CENTRAL HIGH SCHOOL,Fresno,Fresno,7,NA,NA,641,195,N,0.64274571,147.10252947969286
CENTRAL UNION HIGH SCHOOL,El Centro,Imperial,30,5,NA,1955,453,N,0.603069054,515.2709546287757
CENTRAL VALLEY HIGH SCHOOL,Ceres,Stanislaus,46,5,5,2336,572,N,0.752140411,73.99995695624555
CENTURY HIGH SCHOOL,Santa Ana,Orange,18,NA,NA,1615,506,N,0.715789474,377.9980393540757
CERES HIGH SCHOOL,Ceres,Stanislaus,35,7,3,1713,398,N,0.755399883,73.70586658376905
CERRITOS HIGH SCHOOL,Cerritos,Los Angeles,142,17,7,2083,562,N,0.297167547,362.9668789006363
CESAR CHAVEZ HIGH SCHOOL,Stockton,San Joaquin,29,NA,NA,2018,469,N,0.67690783,54.887704515805055
CESAR E CHAVEZ HIGH SCHOOL,Delano,Kern,13,6,NA,1351,325,N,0.768319763,222.090333640864
CHAFFEY DISTRICT ONLINE HS,Ontario,San Bernardino,5,NA,NA,112,36,N,NA,368.395163696958
CHAFFEY HIGH SCHOOL,Ontario,San Bernardino,31,8,5,3223,853,N,0.702140863,367.36571876944953
CHANNEL ISLANDS HIGH SCHOOL,Oxnard,Ventura,45,7,NA,2444,608,N,0.725040917,308.79279281523503
CHAPARRAL HIGH SCHOOL,Temecula,Riverside,69,NA,NA,3077,734,N,0.302242444,414.4864894704982
CHARTER HS ARTS MEDIA PERFORM,Van Nuys,Los Angeles,10,NA,NA,443,117,Y,0.489841986,331.47394946534945
CHARTER OAK HIGH SCHOOL,Covina,Los Angeles,18,3,NA,1299,291,N,0.521939954,358.2702686597695
CHATSWORTH CHARTER HIGH SCHOOL,Chatsworth,Los Angeles,53,13,7,1724,338,Y,0.631670534,323.5130568246038
CHAVEZ LA ACADEMY OF SCIENCE,San Fernando,Los Angeles,9,NA,NA,363,77,Y,0.454545455,329.8139175040284
CHAVEZ LA ARTES,San Fernando,Los Angeles,12,NA,NA,NA,NA,NA,NA,NA
CHAVEZ LEARNING ACAD-TECH PREP ACAD,San Fernando,Los Angeles,13,NA,NA,346,66,N,0.893063584,327.4540989222209
CHICO HIGH SCHOOL,Chico,Butte,43,4,4,1873,504,N,0.440469834,130.68275602234834
CHINO HIGH SCHOOL,Chino,San Bernardino,28,4,NA,2009,502,N,0.645097063,368.8815214409189
CHINO HILLS HIGH SCHOOL,Chino Hills,San Bernardino,128,18,11,2767,637,N,0.280809541,372.2520392150111
CHOWCHILLA UNION HIGH SCHOOL,Chowchilla,Madera,18,4,NA,1067,250,N,0.731958763,121.28724679047308
CHRISTOPHER HIGH SCHOOL,Gilroy,Santa Clara,36,3,3,1667,432,N,0.345530894,68.03023025502014
CHULA VISTA HIGH SCHOOL,Chula Vista,San Diego,41,8,NA,1980,540,N,0.716161616,465.7800479834283
CHULA VISTA LRNG CMNTY CHARTER,Chula Vista,San Diego,32,7,4,1458,93,Y,0.5260631,465.5716855806275
CIRCLE OF INDEPENDENT LEARNING,Fremont,Alameda,8,NA,NA,402,82,Y,0.350746269,27.344046320698222
CITRUS HILL HIGH SCHOOL,Perris,Riverside,23,NA,NA,1677,422,N,0.757304711,391.2190584978843
CITRUS VALLEY HIGH SCHOOL,Redlands,San Bernardino,29,3,NA,2206,538,N,0.47869447,385.80262467361047
CITY ARTS AND LEADERSHIP ACADEMY,San Francisco,San Francisco,26,NA,NA,407,105,Y,0.621621622,14.517691550802445
CITY HONORS HIGH SCHOOL,Inglewood,Los Angeles,18,NA,NA,346,70,Y,0.783236994,347.2655456130928
CITY OF ANGELS SCHOOL,Los Angeles,Los Angeles,5,NA,NA,1180,432,N,NA,349.5690756322134
CLAIREMONT HIGH SCHOOL,San Diego,San Diego,22,3,NA,813,218,N,0.389913899,451.1650504703492
CLAREMONT HIGH SCHOOL,Claremont,Los Angeles,115,17,10,2182,574,N,0.271769019,363.0310269817346
CLARK MAGNET HIGH SCHOOL,La Crescenta,Los Angeles,86,8,NA,1139,278,N,0.4381036,336.35015060238385
CLASSICAL ACADEMY HIGH SCHOOL,Escondido,San Diego,24,NA,NA,1298,304,Y,0.202619414,438.58825875423554
CLAYTON VALLEY CHARTER HIGH SCHOOL,Concord,Contra Costa,127,11,7,2390,574,Y,0.230543933,16.824188494530496
CLEAR LAKE HIGH SCHOOL,Lakeport,Lake,6,NA,NA,336,82,N,0.511904762,89.3441160941319
CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,115,18,11,2784,620,Y,0.62966954,326.6083059059003
CLOVERDALE HIGH SCHOOL,Cloverdale,Sonoma,8,NA,NA,387,85,N,0.444444444,76.86362014308499
CLOVIS EAST HIGH SCHOOL,Clovis,Fresno,43,3,NA,2923,685,N,0.315771468,161.9839235793781
CLOVIS HIGH SCHOOL,Clovis,Fresno,25,3,NA,2876,827,N,0.32093185,159.21705177949306
CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,113,20,6,2400,604,N,0.174166667,154.3789591900868
CLOVIS WEST HIGH SCHOOL,Fresno,Fresno,51,6,NA,2162,509,N,0.305272895,153.8972047830445
COACHELLA VALLEY HIGH SCHOOL,Thermal,Riverside,43,8,7,2345,578,N,0.819616205,447.9027205123163
COALINGA HIGH SCHOOL,Coalinga,Fresno,21,NA,NA,1232,257,N,0.776785714,158.744572327156
COASTAL ACADEMY HS OCEANSIDE,Oceanside,San Diego,11,NA,NA,1876,138,Y,0.257995736,426.35524114911186
COBALT INSTITUTE OF MATH & SCIENCE,Victorville,San Bernardino,32,4,NA,1111,179,N,0.576057606,358.01089829078444
COLFAX HIGH SCHOOL,Colfax,Placer,13,4,NA,628,135,N,0.23566879,110.49034983252936
COLISEUM COLLEGE PREP ACADEMY,Oakland,Alameda,35,6,4,780,68,N,0.928205128,8.440453321024856
COLLEGE PARK HIGH SCHOOL,Pleasant Hill,Contra Costa,103,11,9,1997,490,N,0.193289935,12.096447933155805
COLONY HIGH SCHOOL,Ontario,San Bernardino,28,NA,NA,2085,513,N,0.577458034,373.6850842230472
COLTON HIGH SCHOOL,Colton,San Bernardino,24,NA,NA,1768,415,N,0.785633484,380.5588820335143
COLUSA HIGH SCHOOL,Colusa,Colusa,10,NA,NA,459,97,N,0.566448802,92.68743413197843
COMM&TECH SCHOOL RIVERA LRNG COMPLX,Los Angeles,Los Angeles,19,NA,NA,NA,NA,NA,NA,NA
COMPTON EARLY COLLEGE HIGH SCH,Compton,Los Angeles,39,6,6,560,128,N,0.771428571,356.53508355094664
COMPTON HIGH SCHOOL,Compton,Los Angeles,31,NA,NA,1297,275,N,0.868928296,355.77130499334976
CONCORD HIGH SCHOOL,Concord,Contra Costa,23,5,4,1118,278,N,0.404293381,16.422862337578966
CONNECTING WATERS - EAST BAY,Waterford,Stanislaus,18,NA,NA,768,69,Y,0.48046875,83.31618337398648
CONNECTING WATERS CHARTER SCH,Waterford,Stanislaus,5,NA,NA,768,69,Y,0.48046875,83.31618337398648
CORCORAN HIGH SCHOOL,Corcoran,Kings,20,6,NA,922,179,N,0.803687636,192.6229901322795
CORDOVA HIGH SCHOOL,Rancho Cordova,Sacramento,29,4,NA,1900,439,N,0.516315789,72.00535028897701
CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,117,17,10,2042,366,N,0.173849167,382.1358469384383
CORONA HIGH SCHOOL,Corona,Riverside,28,5,NA,2244,482,N,0.644385027,380.4724421745764
CORONADO HIGH SCHOOL,Coronado,San Diego,52,9,3,1004,258,N,0.079681275,458.3642492686489
CORTINES SCHOOL VPA,Los Angeles,Los Angeles,57,12,4,1139,280,N,0.605794557,346.05106248651657
COSTA MESA HIGH SCHOOL,Costa Mesa,Orange,22,4,NA,1761,287,N,0.622373651,379.09205469447966
COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,122,13,3,2151,570,N,0.260808926,59.32939948037136
COVINA HIGH SCHOOL,Covina,Los Angeles,27,3,NA,1080,259,N,0.596296296,357.749762937134
CRAWFORD HIGH SCHOOL,San Diego,San Diego,41,12,5,1276,275,N,0.823667712,458.6708016640581
CREATIVE CONNECTIONS ARTS ACAD,North Highlands,Sacramento,7,NA,NA,705,42,Y,0.642553191,74.8246396370606
CREDO HIGH SCHOOL ARTS/LETTERS/SCI,Rohnert Park,Sonoma,19,3,NA,440,89,Y,0.206818182,38.71422952894437
CRENSHAW HIGH SCHOOL,Los Angeles,Los Angeles,18,NA,NA,534,142,N,NA,346.3660465336274
CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,200,32,8,2532,584,N,0.213665087,337.44905192553364
CRITICAL DESIGN AND GAMING SCH,Los Angeles,Los Angeles,24,4,NA,NA,NA,NA,NA,NA
CULVER CITY HIGH SCHOOL,Culver City,Los Angeles,129,20,8,2085,528,N,0.32853717,343.24585998747824
CUPERTINO HIGH SCHOOL,Cupertino,Santa Clara,294,36,27,1811,498,N,0.077857537,40.55235174246538
CYPRESS HIGH SCHOOL,Cypress,Orange,134,11,7,2705,665,N,0.34232902,366.7421379671797
DA VINCI CHARTER ACADEMY,Davis,Yolo,20,NA,NA,582,75,Y,0.12371134,55.01171543338888
DA VINCI COMMUNICATIONS HS,El Segundo,Los Angeles,31,5,NA,530,131,Y,0.383018868,348.80098984589887
DA VINCI CONNECT HIGH SCHOOL,El Segundo,Los Angeles,22,NA,NA,865,72,Y,0.339884393,349.0157798292693
DA VINCI DESIGN HIGH SCHOOL,El Segundo,Los Angeles,13,NA,NA,526,133,Y,0.425855513,348.80917299498117
DA VINCI SCIENCE HIGH SCHOOL,El Segundo,Los Angeles,28,3,NA,546,142,Y,0.258241758,348.7900958274185
DANA HILLS HIGH SCHOOL,Dana Point,Orange,63,6,NA,1805,505,N,0.317451524,397.01973196604143
DANIEL PEARL MAGNET HIGH SCHL,Van Nuys,Los Angeles,11,NA,NA,224,50,N,NA,329.7394992749305
DAVID STARR JORDAN HS,Los Angeles,Los Angeles,14,NA,NA,2207,458,N,0.709560489,358.24027595135755
DAVIS SCHOOL INDEPENDENT STUDY,Davis,Yolo,5,3,NA,145,32,N,NA,54.3190460293396
DAVIS SENIOR HIGH SCHOOL,Davis,Yolo,225,22,14,1789,605,N,0.181106764,54.69481699585556
DE ANZA HIGH SCHOOL,Richmond,Contra Costa,45,8,8,1103,300,N,0.613780598,6.733276935846559
DEER VALLEY HIGH SCHOOL,Antioch,Contra Costa,24,3,3,1804,476,N,0.618070953,26.93674249842785
DEL CAMPO HIGH SCHOOL,Fair Oaks,Sacramento,25,NA,NA,1557,365,N,0.450867052,74.74891637885597
DEL LAGO ACADEMY,Escondido,San Diego,32,4,NA,757,171,N,0.540290621,439.19680685398583
DEL MAR HIGH SCHOOL,San Jose,Santa Clara,32,3,3,1310,310,N,0.500763359,43.25790701395879
DEL NORTE HIGH SCHOOL,San Diego,San Diego,281,33,14,2564,622,N,0.097893916,442.8673449302401
DEL ORO HIGH SCHOOL,Bakersfield,Kern,13,NA,NA,NA,NA,NA,NA,NA
DEL ORO HIGH SCHOOL,Loomis,Placer,29,6,NA,1622,404,N,0.12946979,88.21797067621301
DELANO HIGH SCHOOL,Delano,Kern,23,NA,NA,1225,298,N,0.875102041,221.0308229752442
DELHI HIGH SCHOOL,Delhi,Merced,15,3,NA,723,205,N,0.786998617,85.9003773860954
DENAIR HIGH SCHOOL,Denair,Stanislaus,6,NA,NA,277,61,N,0.563176895,83.18054631656179
DESERT HIGH SCHOOL,Edwards,Kern,7,NA,NA,458,65,N,0.11790393,314.763076728886
DESERT HOT SPRINGS HS,Desert Hot Springs,Riverside,30,5,3,1718,403,N,0.955762515,419.8420309192141
DESERT MIRAGE HIGH SCHOOL,Thermal,Riverside,35,7,4,1974,506,N,0.93768997,453.02198709994485
