school,city,county,applied,admitted,attended
ENVIRONMENTAL CHARTER HS LAWNDALE,Lawndale,Los Angeles,11,,
ENVISION ACAD ARTS/TECHNOLOGY,Oakland,Alameda,9,,
ERNEST RIGHETTI HIGH SCHOOL,Santa Maria,Santa Barbara,36,10,6
ERNEST S MCBRIDE SR HIGH SCHL,Long Beach,Los Angeles,40,9,6
ESCALON HIGH SCHOOL,Escalon,San Joaquin,13,,
ESCONDIDO CHARTER HIGH SCHOOL,Escondido,San Diego,21,,
ESCONDIDO HIGH SCHOOL,Escondido,San Diego,20,3,
ESPARTO HIGH SCHOOL,Esparto,Yolo,6,,
ESPERANZA COLLEGE PREP,Los Angeles,Los Angeles,24,3,
ESPERANZA HIGH SCHOOL,Anaheim,Orange,36,4,
ESTANCIA HIGH SCHOOL,Costa Mesa,Orange,15,,
ETIWANDA HIGH SCHOOL,Etiwanda,San Bernardino,67,7,5
EUREKA HIGH SCHOOL,Eureka,Humboldt,13,,
EVEREST PUBLIC HIGH SCHOOL,Redwood City,San Mateo,11,,
EVERETT ALVAREZ HIGH SCHOOL,Salinas,Monterey,67,7,4
EVERGREEN VALLEY HIGH SCHOOL,San Jose,Santa Clara,309,32,22
EXCEL ACADEMY CHARTER SCH-HELENDALE,Irvine,Orange,5,,
EXCELSIOR CHARTER SCHL VICTORVILLE,Victorville,San Bernardino,5,,
EXETER UNION HIGH SCHOOL,Exeter,Tulare,9,,
FAIRFAX HIGH SCHOOL,Los Angeles,Los Angeles,58,10,7
FAIRFIELD HIGH SCHOOL,Fairfield,Solano,17,,
FALLBROOK UNION HIGH SCHOOL,Fallbrook,San Diego,17,,
FARMERSVILLE HIGH SCHOOL,Farmersville,Tulare,10,,
FELICITAS AND GONZALO MENDEZ HS,Los Angeles,Los Angeles,17,6,3
FILLMORE HIGH SCHOOL,Fillmore,Ventura,19,5,
FIREBAUGH HIGH SCHOOL,Firebaugh,Fresno,13,,
FLORIN HIGH SCHOOL,Sacramento,Sacramento,42,6,3
FOLSOM HIGH SCHOOL,Folsom,Sacramento,144,8,6
FONTANA HIGH SCHOOL,Fontana,San Bernardino,55,5,
FOOTHILL HIGH SCHOOL,Bakersfield,Kern,15,,
FOOTHILL HIGH SCHOOL,Palo Cedro,Shasta,8,,
FOOTHILL HIGH SCHOOL,Pleasanton,Alameda,239,18,12
FOOTHILL HIGH SCHOOL,Sacramento,Sacramento,32,,
FOOTHILL HIGH SCHOOL,Santa Ana,Orange,75,12,5
FOOTHILL TECHNOLOGY HS,Ventura,Ventura,44,3,
FORT BRAGG HIGH SCHOOL,Fort Bragg,Mendocino,20,,
FORTUNA UNION HIGH SCHOOL,Fortuna,Humboldt,8,,
FOSHAY LEARNING CENTER,Los Angeles,Los Angeles,33,6,
FOUNTAIN VALLEY HIGH SCHOOL,Fountain Valley,Orange,146,15,5
FOWLER HIGH SCHOOL,Fowler,Fresno,30,7,3
FRANCISCO BRAVO MEDICAL MAGNET,Los Angeles,Los Angeles,72,7,
FRANKLIN HIGH SCHOOL,Elk Grove,Sacramento,131,14,8
FRANKLIN HIGH SCHOOL,Stockton,San Joaquin,30,4,3
FRED C BEYER HIGH SCHOOL,Modesto,Stanislaus,27,,
FREEDOM HIGH SCHOOL,Oakley,Contra Costa,50,5,3
FREMONT ACD ENGINEERING/DESIGN,Pomona,Los Angeles,8,,
FREMONT HIGH SCHOOL,Oakland,Alameda,40,,
FREMONT HIGH SCHOOL,Sunnyvale,Santa Clara,145,8,5
FRESNO HIGH SCHOOL,Fresno,Fresno,27,4,
FRONTIER HIGH SCHOOL,Bakersfield,Kern,27,,
FULLERTON UNION HIGH SCHOOL,Fullerton,Orange,39,4,
FUTURES HIGH SCHOOL,Sacramento,Sacramento,6,,
GABRIELINO HIGH SCHOOL,San Gabriel,Los Angeles,102,12,4
GALILEO ACAD OF SCIENCE & TECH,San Francisco,San Francisco,171,20,15
GALT HIGH SCHOOL,Galt,Sacramento,14,,
GANESHA HIGH SCHOOL,Pomona,Los Angeles,14,3,
GARDEN GROVE HIGH SCHOOL,Garden Grove,Orange,77,14,
GARDENA HIGH SCHOOL,Gardena,Los Angeles,19,4,
GAREY HIGH SCHOOL,Pomona,Los Angeles,23,5,
GATEWAY HIGH SCHOOL,San Francisco,San Francisco,47,5,3
GEORGE WASHINGTON HIGH SCHOOL,San Francisco,San Francisco,220,21,15
GEORGE WASHINGTON PREPARATORY,Los Angeles,Los Angeles,20,,
GHIDOTTI EARLY COLLEGE HIGH SCHOOL,Grass Valley,Nevada,8,,
GILROY HIGH SCHOOL,Gilroy,Santa Clara,35,3,
GIRLS ACADEMIC LEADERSHIP ACAD,Los Angeles,Los Angeles,40,7,
GLEN A WILSON HIGH SCHOOL,Hacienda Heights,Los Angeles,81,13,7
GLENDALE HIGH SCHOOL,Glendale,Los Angeles,40,5,3
GLENDORA HIGH SCHOOL,Glendora,Los Angeles,64,6,4
GOLDEN VALLEY HIGH SCHOOL,Bakersfield,Kern,45,3,
GOLDEN VALLEY HIGH SCHOOL,Merced,Merced,42,6,3
GOLDEN VALLEY HIGH SCHOOL,Santa Clarita,Los Angeles,35,6,3
GOLDEN WEST HIGH SCHOOL,Visalia,Tulare,17,,
GOMPERS PREPARATORY ACADEMY,San Diego,San Diego,35,7,3
GONZALES HIGH SCHOOL,Gonzales,Monterey,16,6,3
GRACE M DAVIS HIGH SCHOOL,Modesto,Stanislaus,39,5,3
GRANADA HIGH SCHOOL,Livermore,Alameda,110,11,8
GRANADA HILLS CHARTER HIGH SCH,Granada Hills,Los Angeles,293,34,12
GRAND TERRACE HIGH SCHOOL,Grand Terrace,San Bernardino,27,6,
GRANITE BAY HIGH SCHOOL,Granite Bay,Placer,131,19,11
GRANITE HILLS HIGH SCHOOL,Apple Valley,San Bernardino,27,4,
GRANITE HILLS HIGH SCHOOL,El Cajon,San Diego,40,4,
GRANITE HILLS HIGH SCHOOL,Porterville,Tulare,18,6,5
GRANT UNION HIGH SCHOOL,Sacramento,Sacramento,42,9,
GREAT OAK HIGH SCHOOL,Temecula,Riverside,120,11,9
GREEN DESIGN STEAM ACADEMY,Los Angeles,Los Angeles,15,,
GREENFIELD HIGH SCHOOL,Greenfield,Monterey,30,,
GRETCHEN WHITNEY HIGH SCHOOL,Cerritos,Los Angeles,119,23,13
GRIDLEY HIGH SCHOOL,Gridley,Butte,6,,
GRIFFIN ACADEMY HIGH SCHOOL,Vallejo,Solano,9,,
GROSSMONT HIGH SCHOOL,El Cajon,San Diego,27,7,3
GROVE HIGH SCHOOL,Redlands,San Bernardino,5,,
GUAJOME PARK ACADEMY,Vista,San Diego,9,,
GUSTINE HIGH SCHOOL,Gustine,Merced,7,,
HALF MOON BAY HIGH SCHOOL,Half Moon Bay,San Mateo,46,7,4
HAMILTON UNION HIGH SCHOOL,Hamilton City,Glenn,8,,
HANFORD HIGH SCHOOL,Hanford,Kings,11,,
HANFORD WEST HIGH SCHOOL,Hanford,Kings,21,5,
HARBOR HIGH SCHOOL,Santa Cruz,Santa Cruz,35,7,
HARMONY MAGNET ACADEMY,Strathmore,Tulare,15,5,
HAWTHORNE HIGH SCHOOL,Hawthorne,Los Angeles,31,,
HAWTHORNE MATH & SCIENCE ACAD,Hawthorne,Los Angeles,33,6,
HAYFORK HIGH SCHOOL,Hayfork,Trinity,6,,
HAYWARD HIGH SCHOOL,Hayward,Alameda,40,,
HAYWARD TWIN OAKS MONTESSORI,Hayward,Alameda,6,,
HEALDSBURG HIGH SCHOOL,Healdsburg,Sonoma,42,7,6
HEALTH CAREERS ACADEMY HS,Stockton,San Joaquin,30,3,3
HEALTH PROFESSIONS HIGH SCH,Sacramento,Sacramento,5,,
HEALTH SCIENCES HIGH/MID COLL,San Diego,San Diego,21,4,
HECTOR GODINEZ FUNDAMENTAL HS,Santa Ana,Orange,37,6,
HELEN BERNSTEIN HIGH SCHOOL,Hollywood,Los Angeles,12,,
HELIX HIGH SCHOOL,La Mesa,San Diego,114,10,7
HEMET HIGH SCHOOL,Hemet,Riverside,23,,
HENRY J KAISER HIGH SCHOOL,Fontana,San Bernardino,32,8,5
HENRY M GUNN SENIOR HIGH SCHL,Palo Alto,Santa Clara,261,40,18
HENRY T GUNDERSON HIGH SCHOOL,San Jose,Santa Clara,25,3,
HERBERT HOOVER HIGH SCHOOL,Fresno,Fresno,28,,
HERBERT HOOVER HIGH SCHOOL,Glendale,Los Angeles,44,,
HERCULES HIGH SCHOOL,Hercules,Contra Costa,54,12,11
HERITAGE HIGH SCHOOL,Brentwood,Contra Costa,114,7,5
HERITAGE HIGH SCHOOL,Menifee,Riverside,15,3,
HERITAGE PEAK CHARTER SCHOOL,Rio Linda,Sacramento,7,,
HESPERIA HIGH SCHOOL,Hesperia,San Bernardino,38,4,
HIGH SCHOOL AT MOORPARK COLL,Moorpark,Ventura,10,,
HIGH TECH HIGH - NORTH COUNTY,San Marcos,San Diego,19,,
HIGH TECH HIGH CHULA VISTA,Chula Vista,San Diego,30,3,
HIGH TECH HIGH INTERNATIONAL,San Diego,San Diego,18,4,3
HIGH TECH HIGH LA,Van Nuys,Los Angeles,24,,
HIGH TECH HIGH MEDIA ARTS,San Diego,San Diego,23,6,3
HIGH TECH HIGH MESA,San Diego,San Diego,24,,
HIGH TECH HIGH SCHOOL,San Diego,San Diego,32,6,4
HIGHLAND HIGH SCHOOL,Bakersfield,Kern,27,,
HIGHLAND HIGH SCHOOL,Palmdale,Los Angeles,39,4,
HIGHLANDS HIGH SCHOOL,North Highlands,Sacramento,8,,
HILLCREST HIGH SCHOOL,Riverside,Riverside,27,4,3
HILLSDALE HIGH SCHOOL,San Mateo,San Mateo,109,15,7
HILLTOP HIGH SCHOOL,Chula Vista,San Diego,42,9,4
HIRAM W JOHNSON HIGH SCHOOL,Sacramento,Sacramento,37,,
HOLLISTER HIGH SCHOOL,Hollister,San Benito,62,6,4
HOLLYWOOD HIGH SCHOOL,Los Angeles,Los Angeles,46,10,4
HOLTVILLE HIGH SCHOOL,Holtville,Imperial,8,,
HOMESTEAD HIGH SCHOOL,Cupertino,Santa Clara,293,26,19
HOOVER HIGH SCHOOL,San Diego,San Diego,62,13,4
HUENEME HIGH SCHOOL,Oxnard,Ventura,21,3,
HUGHSON HIGH SCHOOL,Hughson,Stanislaus,15,,
HUNTINGTON BEACH HIGH SCHOOL,Huntington Beach,Orange,114,22,13
HUNTINGTON PARK HIGH SCHOOL,Huntington Park,Los Angeles,43,9,4
HUNTINGTON PARK INST APPLD MEDICINE,Huntington Park,Los Angeles,20,7,
ICEF VIEW PARK PREPARATORY HIGH SCH,Los Angeles,Los Angeles,8,,
ILEAD EXPLORATION HYBRID,Acton,Los Angeles,10,4,
IMPACT ACAD ARTS/TECHNOLOGY,Hayward,Alameda,33,5,
IMPERIAL HIGH SCHOOL,Imperial,Imperial,11,,
INDEPENDENCE HIGH SCHOOL,Bakersfield,Kern,20,3,3
INDEPENDENCE HIGH SCHOOL,Roseville,Placer,5,,
INDEPENDENCE HIGH SCHOOL,San Francisco,San Francisco,15,,
INDEPENDENCE HIGH SCHOOL,San Jose,Santa Clara,78,6,3
INDERKUM HIGH SCHOOL,Sacramento,Sacramento,71,13,7
INDIAN SPRINGS HIGH SCHOOL,San Bernardino,San Bernardino,37,5,
INDIO HIGH SCHOOL,Indio,Riverside,28,6,3
INGLEWOOD HIGH SCHOOL,Inglewood,Los Angeles,12,,
INSPIRE SCHOOL OF ARTS AND SCIENCES,Chico,Butte,5,,
INTERNATIONAL POLYTECHNIC HS,Pomona,Los Angeles,30,,
INTERNATIONAL STUDIES LEARNING CTR,South Gate,Los Angeles,9,4,
INVICTUS ACADEMY OF RICHMOND,El Cerrito,Contra Costa,13,,
IRVINE HIGH SCHOOL,Irvine,Orange,175,14,8
IRVINGTON HIGH SCHOOL,Fremont,Alameda,319,31,26
JAMES A GARFIELD HIGH SCHOOL,Los Angeles,Los Angeles,61,11,5
JAMES C ENOCHS HIGH SCHOOL,Modesto,Stanislaus,78,8,3
JAMES LICK HIGH SCHOOL,San Jose,Santa Clara,15,4,
JAMES LOGAN HIGH SCHOOL,Union City,Alameda,174,19,14
JAMES MONROE HIGH SCHOOL,North Hills,Los Angeles,59,,
JEFFERSON HIGH SCHOOL,Daly City,San Mateo,48,3,
JESSE M BETHEL HIGH SCHOOL,Vallejo,Solano,29,4,
JOHANSEN HIGH SCHOOL,Modesto,Stanislaus,33,3,
JOHN A ROWLAND HIGH SCHOOL,Rowland Heights,Los Angeles,77,11,5
JOHN BURROUGHS HIGH SCHOOL,Burbank,Los Angeles,87,7,
JOHN C FREMONT HIGH SCHOOL,Los Angeles,Los Angeles,35,6,
JOHN C KIMBALL HIGH SCHOOL,Tracy,San Joaquin,72,5,3
JOHN F KENNEDY HIGH SCHOOL,Fremont,Alameda,69,6,3
JOHN F KENNEDY HIGH SCHOOL,Granada Hills,Los Angeles,65,7,3
JOHN F KENNEDY HIGH SCHOOL,La Palma,Orange,45,4,3
JOHN F KENNEDY HIGH SCHOOL,Richmond,Contra Costa,20,4,4
JOHN F KENNEDY HIGH SCHOOL,Sacramento,Sacramento,45,4,4
JOHN F KENNEDY MIDDLE COLG HS,Norco,Riverside,44,5,4
JOHN GLENN HIGH SCHOOL,Norwalk,Los Angeles,15,3,
JOHN H PITMAN HIGH SCHOOL,Turlock,Stanislaus,47,6,3
JOHN HENRY HIGH SCHOOL,Richmond,Contra Costa,19,3,3
JOHN MARSHALL FUNDAMENTAL SCH,Pasadena,Los Angeles,45,21,11
JOHN MARSHALL HIGH SCHOOL,Los Angeles,Los Angeles,92,11,7
JOHN MUIR HIGH SCHOOL,Pasadena,Los Angeles,30,4,
JOHN O'CONNELL HIGH SCHOOL,San Francisco,San Francisco,6,,
JOHN RANCIS POLYTECHNIC HIGH SCHOOL,Sun Valley,Los Angeles,47,6,
JOHN SWETT HIGH SCHOOL,Crockett,Contra Costa,14,,
JOHN W NORTH HIGH SCHOOL,Riverside,Riverside,43,10,4
JORDAN HIGH SCHOOL,Long Beach,Los Angeles,40,3,
JOSEPH A GREGORI HIGH SCHOOL,Modesto,Stanislaus,56,8,5
JUAN RODRIGUEZ CABRILLO HS,Long Beach,Los Angeles,34,4,4
JUNE JORDAN SCHOOL FOR EQUITY,San Francisco,San Francisco,5,,
JURUPA HILLS HIGH SCHOOL,Fontana,San Bernardino,24,3,
JURUPA VALLEY HIGH SCHOOL,Jurupa Valley,Riverside,13,3,
JUSTIN GARZA HIGH SCHOOL,Fresno,Fresno,23,4,
KATELLA HIGH SCHOOL,Anaheim,Orange,48,,
KEARNY COLLEGE CONNECTIONS,San Diego,San Diego,8,,
KEARNY DIGITAL MEDIA & DESIGN,San Diego,San Diego,7,,
KEARNY SCH BIOMED SCIENCE TECH,San Diego,San Diego,9,3,
KELSEYVILLE HIGH SCHOOL,Kelseyville,Lake,7,,
KERMAN HIGH SCHOOL,Kerman,Fresno,14,3,
KING CITY JOINT UNION HS,King City,Monterey,15,3,
KING DREW MAGNET HS MED/SCI,Los Angeles,Los Angeles,68,11,4
KINGSBURG HIGH SCHOOL,Kingsburg,Fresno,15,4,
KIPP ESPERANZA HIGH SCHOOL,East Palo Alto,San Mateo,14,,
KIPP KING COLLEGIATE HIGH SCH,San Lorenzo,Alameda,85,8,7
KIPP NAVIGATE COLLEGE PREP,San Jose,Santa Clara,24,,
KIPP SAN FRANCISCO COLG PREP,San Francisco,San Francisco,15,,
KIPP SAN JOSE COLLEGIATE,San Jose,Santa Clara,55,5,4
LA CANADA HIGH SCHOOL,La Canada,Los Angeles,170,21,7
LA CENTER ENRICHED STUDIES,Los Angeles,Los Angeles,81,17,
LA COSTA CANYON HIGH SCHOOL,Carlsbad,San Diego,51,6,4
LA HABRA HIGH SCHOOL,La Habra,Orange,28,5,
LA JOLLA HIGH,La Jolla,San Diego,118,22,10
LA MIRADA HIGH SCHOOL,La Mirada,Los Angeles,40,4,
LA PUENTE HIGH SCHOOL,La Puente,Los Angeles,14,,
LA QUINTA HIGH SCHOOL,La Quinta,Riverside,41,8,3
LA QUINTA HIGH SCHOOL,Westminster,Orange,108,14,6
LA SERNA HIGH SCHOOL,Whittier,Los Angeles,55,7,4
LA SIERRA HIGH SCHOOL,Riverside,Riverside,25,4,
LAGUNA BEACH HIGH SCHOOL,Laguna Beach,Orange,62,13,10
LAGUNA CREEK HIGH SCHOOL,Elk Grove,Sacramento,58,3,
LAGUNA HILLS HIGH SCHOOL,Laguna Hills,Orange,49,7,
LAKE BALBOA COLLEGE PREP K-12,Van Nuys,Los Angeles,13,4,
LAKESIDE HIGH SCHOOL,Lake Elsinore,Riverside,11,,
LAKEWOOD HIGH SCHOOL,Lakewood,Los Angeles,47,3,
LANCASTER HIGH SCHOOL,Lancaster,Los Angeles,27,4,
LARCHMONT CHARTER SCHOOL,Los Angeles,Los Angeles,51,7,
LAS LOMAS HIGH SCHOOL,Walnut Creek,Contra Costa,149,19,11
LAS PLUMAS HIGH SCHOOL,Oroville,Butte,11,,
LASSEN HIGH SCHOOL,Susanville,Lassen,5,,
LATHROP HIGH SCHOOL,Lathrop,San Joaquin,37,,
LATINO COLLEGE PREP ACADEMY,San Jose,Santa Clara,25,4,
LATITUDE 37.8 HS MERRITT COLLEGE,Oakland,Alameda,23,3,
LAWNDALE HIGH SCHOOL,Lawndale,Los Angeles,44,10,4
LE GRAND UNION HIGH SCHOOL,Le Grand,Merced,20,3,
LEADERSHIP PUBLIC SCH HAYWARD,Hayward,Alameda,45,6,6
LEADERSHIP PUBLIC SCH RICHMOND,Richmond,Contra Costa,31,7,3
LEGACY COLLEGE PREPARATORY,Santa Ana,Orange,25,,
LEGACY MAGNET ACADEMY,Tustin,Orange,46,7,
LEIGH HIGH SCHOOL,San Jose,Santa Clara,182,11,8
LELAND HIGH SCHOOL,San Jose,Santa Clara,189,31,24
LEMOORE MIDDLE COLLEGE HIGH SC,Lemoore,Kings,11,,
LEMOORE UNION HIGH SCHOOL,Lemoore,Kings,21,,
LENNOX MATH SCIENCE TECH ACAD,Inglewood,Los Angeles,32,3,
LEROY GREENE ACADEMY,Sacramento,Sacramento,16,,
LEUZINGER HIGH SCHOOL,Lawndale,Los Angeles,46,3,
LIBERTY HIGH SCHOOL,Bakersfield,Kern,40,7,3
LIBERTY HIGH SCHOOL,Brentwood,Contra Costa,62,6,4
LIBERTY HIGH SCHOOL,Madera,Madera,13,,
LIBERTY HIGH SCHOOL,Winchester,Riverside,32,5,
LIBERTY RANCH HIGH SCHOOL,Galt,Sacramento,11,,
LIBRA ACADEMY AT LINDA MARQUEZ HS,Huntington Park,Los Angeles,22,8,3
LIFE ACADEMY HIGH SCHOOL,Oakland,Alameda,19,4,4
LIFELINE EDUCATION CHARTER SCH,Compton,Los Angeles,8,,
LIGHTHOUSE COMMUNITY CHAR HS,Oakland,Alameda,29,,
LINCOLN HIGH SCHOOL,Lincoln,Placer,13,,
LINCOLN HIGH SCHOOL,San Diego,San Diego,33,5,
LINCOLN HIGH SCHOOL,Stockton,San Joaquin,66,7,3
LINDA MARQUEZ HS-SOCIAL JUSTICE,Huntington Park,Los Angeles,16,4,
LINDEN HIGH SCHOOL,Linden,San Joaquin,12,,
LINDHURST HIGH SCHOOL,Olivehurst,Yuba,14,3,3
LINDSAY HIGH SCHOOL,Lindsay,Tulare,29,7,3
LITTLEROCK HIGH SCHOOL,Littlerock,Los Angeles,10,,
LIVE OAK HIGH SCHOOL,Live Oak,Sutter,10,,
LIVE OAK HIGH SCHOOL,Morgan Hill,Santa Clara,36,7,5
LIVERMORE HIGH SCHOOL,Livermore,Alameda,67,8,5
LIVINGSTON HIGH SCHOOL,Livingston,Merced,26,8,4
LOARA HIGH SCHOOL,Anaheim,Orange,21,3,
LODESTAR LIGHTHOUSE COMM CHARTER SC,Oakland,Alameda,15,,
LODI HIGH SCHOOL,Lodi,San Joaquin,25,9,4
LOMPOC HIGH SCHOOL,Lompoc,Santa Barbara,24,5,
LONG BEACH POLYTECHNIC HS,Long Beach,Los Angeles,165,37,20
LOS ALAMITOS HIGH SCHOOL,Los Alamitos,Orange,139,23,9
LOS ALTOS HIGH SCHOOL,Hacienda Heights,Los Angeles,31,3,3
LOS ALTOS HIGH SCHOOL,Los Altos,Santa Clara,241,32,19
LOS AMIGOS HIGH SCHOOL,Fountain Valley,Orange,36,7,
LOS ANGELES COUNTY HS FOR THE ARTS,Los Angeles,Los Angeles,38,9,
LOS ANGELES HS OF THE ARTS,Los Angeles,Los Angeles,22,4,3
LOS ANGELES LEADERSHIP ACAD HS,Los Angeles,Los Angeles,8,,
LOS ANGELES SCHOOL GLOBAL STUDIES,Los Angeles,Los Angeles,6,,
LOS ANGELES SENIOR HIGH SCHOOL,Los Angeles,Los Angeles,38,7,
LOS BANOS HIGH SCHOOL,Los Banos,Merced,27,5,
LOS GATOS HIGH SCHOOL,Los Gatos,Santa Clara,207,18,14
LOS OSOS HIGH SCHOOL,Rancho Cucamonga,San Bernardino,127,15,9
LOWELL HIGH SCHOOL,San Francisco,San Francisco,363,42,29
LOWER LAKE HIGH SCHOOL,Lower Lake,Lake,9,,
LPS OAKLAND R&D CAMPUS,Oakland,Alameda,5,,
LUIS VALDEZ LEADERSHIP ACADEMY,San Jose,Santa Clara,9,,
LUTHER BURBANK HIGH SCHOOL,Sacramento,Sacramento,37,,
LYNBROOK HIGH SCHOOL,San Jose,Santa Clara,314,34,25
LYNWOOD HIGH SCHOOL,Lynwood,Los Angeles,29,,
M C LEARNING COMPLX-SCH OF BUS&TRSM,Los Angeles,Los Angeles,7,,
MADERA HIGH SCHOOL,Madera,Madera,32,7,5
MADERA SOUTH HIGH SCHOOL,Madera,Madera,29,4,3
MADISON HIGH SCHOOL,San Diego,San Diego,14,,
MADISON PARK ACADEMY,Oakland,Alameda,18,,
MAGNOLIA HIGH SCHOOL,Anaheim,Orange,34,5,
MAGNOLIA SCIENCE ACADEMY - 1 RESEDA,Reseda,Los Angeles,19,4,
MAGNOLIA SCIENCE ACADEMY 2 VALLEY,Van Nuys,Los Angeles,16,8,6
MAGNOLIA SCIENCE ACADEMY-SANTA ANA,Santa Ana,Orange,17,5,5
MAKING WAVES ACADEMY,Richmond,Contra Costa,49,9,4
MALIBU HIGH SCHOOL,Malibu,Los Angeles,25,9,5
MAMMOTH HIGH SCHOOL,Mammoth Lakes,Mono,9,,
MANTECA HIGH SCHOOL,Manteca,San Joaquin,35,4,
MANUAL ARTS SENIOR HIGH SCHOOL,Los Angeles,Los Angeles,23,4,
MAR VISTA HIGH SCHOOL,Imperial Beach,San Diego,22,3,
MARCO ANTONIO FIREBAUGH HS,Lynwood,Los Angeles,42,6,
MARE ISLAND TECHNOLOGY ACADEMY,Vallejo,Solano,16,,
MARIA CARRILLO HIGH SCHOOL,Santa Rosa,Sonoma,57,6,3
MARINA HIGH SCHOOL,Huntington Beach,Orange,68,10,
MARINA HIGH SCHOOL,Marina,Monterey,11,,
MARIPOSA COUNTY HIGH SCHOOL,Mariposa,Mariposa,5,,
MARK KEPPEL HIGH SCHOOL,Alhambra,Los Angeles,143,18,11
MARTIN LUTHER KING HIGH SCHOOL,Riverside,Riverside,63,11,6
MARYSVILLE CHARTER ACAD ARTS,Marysville,Yuba,9,3,
MARYSVILLE HIGH SCHOOL,Marysville,Yuba,10,,
MATH AND SCIENCE COLLEGE PREP,Los Angeles,Los Angeles,17,,
MATH SCIENCE TECHNOLOGY MAGNET,Los Angeles,Los Angeles,20,8,5
MATILDA TORRES HIGH SCHOOL,Madera,Madera,62,10,5
MAYFAIR HIGH SCHOOL,Lakewood,Los Angeles,25,,
MAYWOOD ACADEMY HIGH SCHOOL,Maywood,Los Angeles,10,,
MAYWOOD CTR ENRICHED STUDIES,Maywood,Los Angeles,28,8,
MCCLYMONDS HIGH SCHOOL,Oakland,Alameda,11,,
MCFARLAND HIGH SCHOOL,Mcfarland,Kern,16,,
MCKINLEYVILLE HIGH SCHOOL,Mckinleyville,Humboldt,5,,
MCLANE HIGH SCHOOL,Fresno,Fresno,62,6,4
MENDOCINO HIGH SCHOOL,Mendocino,Mendocino,15,6,
MENDOTA HIGH SCHOOL,Mendota,Fresno,18,4,
MENLO ATHERTON HIGH SCHOOL,Atherton,San Mateo,173,23,10
MERCED HIGH SCHOOL,Merced,Merced,37,3,
MERRILL F WEST HIGH SCHOOL,Tracy,San Joaquin,51,6,5
MERVYN M DYMALLY HIGH SCHOOL,Los Angeles,Los Angeles,13,,
MESA VERDE HIGH SCHOOL,Citrus Heights,Sacramento,15,,
MET SACRAMENTO HIGH SCHOOL,Sacramento,Sacramento,7,,
METWEST HIGH SCHOOL,Oakland,Alameda,17,,
MIDDLE COLLEGE HIGH SCHOOL,Los Angeles,Los Angeles,14,3,
MIDDLE COLLEGE HIGH SCHOOL,San Bernardino,San Bernardino,33,5,4
MIDDLE COLLEGE HIGH SCHOOL,San Pablo,Contra Costa,50,10,9
MIDDLE COLLEGE HIGH SCHOOL,Santa Ana,Orange,37,5,
MIDDLE COLLEGE HIGH SCHOOL,Stockton,San Joaquin,42,10,6
MIDDLETOWN HIGH SCHOOL,Middletown,Lake,6,,
MILLENNIUM HIGH SCHOOL,Tracy,San Joaquin,23,,
MILLS HIGH SCHOOL,Millbrae,San Mateo,127,17,8
MILPITAS HIGH SCHOOL,Milpitas,Santa Clara,215,19,14
MILPITAS MIDDLE COLLEGE HS,Milpitas,Santa Clara,9,,
MIRA COSTA HIGH SCHOOL,Manhattan Beach,Los Angeles,271,47,27
MIRA LOMA HIGH SCHOOL,Sacramento,Sacramento,101,28,21
MIRA MESA HIGH SCHOOL,San Diego,San Diego,74,15,11
MIRA MONTE HIGH SCHOOL,Bakersfield,Kern,24,3,
MIRAMONTE HIGH SCHOOL,Orinda,Contra Costa,157,16,4
MISSION BAY HIGH,San Diego,San Diego,57,5,5
MISSION EARLY COLLEGE HIGH SCH,Santa Clara,Santa Clara,23,,
MISSION HILLS HIGH SCHOOL,San Marcos,San Diego,93,6,3
MISSION OAK HIGH SCHOOL,Tulare,Tulare,21,6,
MISSION SAN JOSE HIGH SCHOOL,Fremont,Alameda,316,43,28
MISSION SENIOR HIGH SCHOOL,San Francisco,San Francisco,76,34,25
MISSION VIEJO HIGH SCHOOL,Mission Viejo,Orange,46,5,3
MISSION VISTA ACADEMY,Corona,Riverside,8,,
MISSION VISTA HIGH SCHOOL,Oceanside,San Diego,63,5,3
MODESTO HIGH SCHOOL,Modesto,Stanislaus,43,7,3
MONACHE HIGH SCHOOL,Porterville,Tulare,28,3,
MONROVIA HIGH SCHOOL,Monrovia,Los Angeles,37,3,3
MONTA VISTA HIGH SCHOOL,Cupertino,Santa Clara,321,33,25
MONTCLAIR HIGH SCHOOL,Montclair,San Bernardino,30,3,
MONTE VISTA HIGH SCHOOL,Danville,Contra Costa,225,28,20
MONTE VISTA HIGH SCHOOL,Spring Valley,San Diego,22,4,
MONTEBELLO HIGH SCHOOL,Montebello,Los Angeles,41,6,
MONTEREY HIGH SCHOOL,Monterey,Monterey,48,8,5
MONTEREY TRAIL HIGH SCHOOL,Elk Grove,Sacramento,72,3,
MONTGOMERY HIGH SCHOOL,San Diego,San Diego,42,6,5
MONTGOMERY HIGH SCHOOL,Santa Rosa,Sonoma,29,5,3
MOORPARK HIGH SCHOOL,Moorpark,Ventura,45,,
MORENO VALLEY HIGH SCHOOL,Moreno Valley,Riverside,34,4,
MORNINGSIDE HIGH SCHOOL,Inglewood,Los Angeles,14,3,
MORRO BAY HIGH SCHOOL,Morro Bay,San Luis Obispo,26,3,
MORSE HIGH SCHOOL,San Diego,San Diego,34,6,
MOUNT CARMEL HIGH SCHOOL,San Diego,San Diego,91,,
MOUNT DIABLO HIGH SCHOOL,Concord,Contra Costa,24,,
