school,city,county,applied,admitted,attended
ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,371,51,29
ARCATA HIGH SCHOOL,Arcata,Humboldt,32,5,
ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,93,9,6
ARGONAUT HIGH SCHOOL,Jackson,Amador,7,,
ARISE HIGH SCHOOL,Oakland,Alameda,15,4,4
ARLETA HIGH SCHOOL,Arleta,Los Angeles,18,3,
ARLINGTON HIGH SCHOOL,Riverside,Riverside,21,3,
ARMIJO HIGH SCHOOL,Fairfield,Solano,27,4,
ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,235,35,20
ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,54,6,5
ARROYO HIGH SCHOOL,El Monte,Los Angeles,42,8,
ARROYO HIGH SCHOOL,San Lorenzo,Alameda,88,10,9
ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,43,5,
ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,17,,
ARVIN HIGH SCHOOL,Arvin,Kern,39,7,5
ASPIRE ALEXANDER TWILIGHT SCND,Sacramento,Sacramento,10,,
ASPIRE BENJAMIN HOLT COLG PREP,Stockton,San Joaquin,36,5,3
ASPIRE GOLDEN STATE COLLG PREP ACAD,Oakland,Alameda,17,,
ASPIRE LANGSTON HUGHES ACADEMY,Stockton,San Joaquin,16,4,
ASPIRE LIONEL WILSON COLG PREP,Oakland,Alameda,18,4,4
ASPIRE OLLIN UNIV PREP ACDMY,Huntington Park,Los Angeles,11,3,
ASPIRE PACIFIC ACADEMY,Huntington Park,Los Angeles,8,,
ASPIRE RICHMOND CA COLG PREP,Richmond,Contra Costa,26,6,5
ASPIRE VANGUARD COL PREP ACAD,Modesto,Stanislaus,9,,
ASSURANCE LEARNING ACADEMY,Lancaster,Los Angeles,11,,
ATASCADERO HIGH SCHOOL,Atascadero,San Luis Obispo,16,,
ATWATER HIGH SCHOOL,Atwater,Merced,34,5,
AUDEO CHARTER SCHOOL I,San Diego,San Diego,6,,
AVENAL HIGH SCHOOL,Avenal,Kings,11,4,
AVESON GLOBAL LEADERSHIP ACADEMY,Altadena,Los Angeles,6,,
AZUSA HIGH SCHOOL,Azusa,Los Angeles,30,9,4
BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern,24,,
BALBOA HIGH SCHOOL,San Francisco,San Francisco,130,17,12
BALDWIN PARK HIGH SCHOOL,Baldwin Park,Los Angeles,14,,
BANNING HIGH SCHOOL,Banning,Riverside,10,,
BASSETT HIGH SCHOOL,La Puente,Los Angeles,13,,
BAY AREA TECHNOLOGY-BAYTECH,Oakland,Alameda,14,3,
BAYFRONT CHARTER HIGH SCHOOL,Chula Vista,San Diego,7,,
BEAR CREEK HIGH SCHOOL,Stockton,San Joaquin,28,7,3
BEAR RIVER HIGH SCHOOL,Grass Valley,Nevada,9,,
BEAUMONT HIGH SCHOOL,Beaumont,Riverside,37,5,
BELL GARDENS HIGH SCHOOL,Bell Gardens,Los Angeles,34,3,
BELL HIGH SCHOOL,Bell,Los Angeles,55,10,4
BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento,33,5,
BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,33,3,
BELMONT HIGH SCHOOL,Los Angeles,Los Angeles,13,3,
BENICIA HIGH SCHOOL,Benicia,Solano,60,7,4
BENJAMIN FRANKLIN HIGH SCHOOL,Los Angeles,Los Angeles,43,5,
BERKELEY HIGH SCHOOL,Berkeley,Alameda,319,73,37
BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles,80,14,6
BIG BEAR HIGH SCHOOL,Big Bear City,San Bernardino,5,,
BIRMINGHAM COMMUNITY CHARTER HS,Lake Balboa,Los Angeles,126,21,8
BISHOP UNION HIGH SCHOOL,Bishop,Inyo,10,,
BLAIR HIGH SCHOOL,Pasadena,Los Angeles,28,3,
BLOOMINGTON HIGH SCHOOL,Bloomington,San Bernardino,13,,
BLUE RIDGE ACADEMY,Maricopa,Kern,12,4,
BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,47,11,5
BONITA HIGH SCHOOL,La Verne,Los Angeles,42,6,
BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego,86,15,9
BONSALL HIGH SCHOOL,Bonsall,San Diego,9,,
BOSTONIA GLOBAL,El Cajon,San Diego,5,,
BOYLE HEIGHTS STEM MAGNET HIGH SCH,Los Angeles,Los Angeles,11,,
BRANHAM HIGH SCHOOL,San Jose,Santa Clara,128,13,11
BRAWLEY UNION HIGH SCHOOL,Brawley,Imperial,14,,
BREA OLINDA HIGH SCHOOL,Brea,Orange,81,9,
BRET HARTE UNION HIGH SCHOOL,Angels Camp,Calaveras,6,,
BRIO COLLEGE PREP,Los Angeles,Los Angeles,33,3,
BUCHANAN HIGH SCHOOL,Clovis,Fresno,61,11,6
