school,city,county,applied,admitted,attended,tot_enrolled,grade_12
ANIMO WATTS COLLGE PREP ACDMY,Los Angeles,Los Angeles,21,3,,541,116
ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,82,7,4,1510,369
ANTELOPE HIGH SCHOOL,Antelope,Sacramento,37,3,,,
ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,14,3,,1512,381
ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,36,,,1823,398
APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,31,,,2163,540
APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,9,,,376,114
APTOS HIGH SCHOOL,Aptos,Santa Cruz,53,8,6,1316,328
ARAGON HIGH SCHOOL,San Mateo,San Mateo,197,27,16,1686,435
ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,371,51,29,3004,788
ARCATA HIGH SCHOOL,Arcata,Humboldt,32,5,,1011,229
ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,93,9,6,1181,312
ARGONAUT HIGH SCHOOL,Jackson,Amador,7,,,594,136
ARISE HIGH SCHOOL,Oakland,Alameda,15,4,4,400,96
ARLETA HIGH SCHOOL,Arleta,Los Angeles,18,3,,1092,245
ARLINGTON HIGH SCHOOL,Riverside,Riverside,21,3,,1967,440
ARMIJO HIGH SCHOOL,Fairfield,Solano,27,4,,1899,415
ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,235,35,20,2713,652
ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,54,6,5,1976,490
ARROYO HIGH SCHOOL,El Monte,Los Angeles,42,8,,1698,440
ARROYO HIGH SCHOOL,San Lorenzo,Alameda,88,10,9,1542,404
ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,43,5,,2730,707
ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,17,,,1441,384
ARVIN HIGH SCHOOL,Arvin,Kern,39,7,5,2728,713
ASPIRE ALEXANDER TWILIGHT SCND,Sacramento,Sacramento,10,,,473,50
ASPIRE BENJAMIN HOLT COLG PREP,Stockton,San Joaquin,36,5,3,694,164
ASPIRE GOLDEN STATE COLLG PREP ACAD,Oakland,Alameda,17,,,436,66
ASPIRE LANGSTON HUGHES ACADEMY,Stockton,San Joaquin,16,4,,756,88
ASPIRE LIONEL WILSON COLG PREP,Oakland,Alameda,18,4,4,406,62
ASPIRE OLLIN UNIV PREP ACDMY,Huntington Park,Los Angeles,11,3,,557,78
ASPIRE PACIFIC ACADEMY,Huntington Park,Los Angeles,8,,,560,78
ASPIRE RICHMOND CA COLG PREP,Richmond,Contra Costa,26,6,5,595,77
ASPIRE VANGUARD COL PREP ACAD,Modesto,Stanislaus,9,,,621,67
ASSURANCE LEARNING ACADEMY,Lancaster,Los Angeles,11,,,3111,299
ATASCADERO HIGH SCHOOL,Atascadero,San Luis Obispo,16,,,1114,244
ATWATER HIGH SCHOOL,Atwater,Merced,34,5,,2051,504
AUDEO CHARTER SCHOOL I,San Diego,San Diego,6,,,402,57
AVENAL HIGH SCHOOL,Avenal,Kings,11,4,,750,176
AVESON GLOBAL LEADERSHIP ACADEMY,Altadena,Los Angeles,6,,,207,33
AZUSA HIGH SCHOOL,Azusa,Los Angeles,30,9,4,1729,432
BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern,24,,,3024,823
BALBOA HIGH SCHOOL,San Francisco,San Francisco,130,17,12,1251,326
BALDWIN PARK HIGH SCHOOL,Baldwin Park,Los Angeles,14,,,1409,357
BANNING HIGH SCHOOL,Banning,Riverside,10,,,1146,251
BASSETT HIGH SCHOOL,La Puente,Los Angeles,13,,,793,218
BAY AREA TECHNOLOGY-BAYTECH,Oakland,Alameda,14,3,,309,50
BAYFRONT CHARTER HIGH SCHOOL,Chula Vista,San Diego,7,,,,
BEAR CREEK HIGH SCHOOL,Stockton,San Joaquin,28,7,3,1880,445
