school,city,county,applied,admitted,attended,tot_enrolled,grade_12
EARLY COLLEGE HIGH SCHOOL,Costa Mesa,Orange,11,,,200,53
EAST BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern,37,4,,2420,605
EAST BAY INNOVATION ACADEMY,Oakland,Alameda,21,4,4,502,34
EAST COLLEGE PREP,Los Angeles,Los Angeles,19,,,2092,450
EAST PALO ALTO ACADEMY,East Palo Alto,San Mateo,8,,,287,69
EAST UNION HIGH SCHOOL,Manteca,San Joaquin,19,,,1510,375
EAST VALLEY HIGH SCHOOL,North Hollywood,Los Angeles,11,,,538,121
EAST VILLAGE MIDDLE COLLEGE HS,San Diego,San Diego,8,3,,124,21
EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,133,10,7,2710,724
EASTSIDE HIGH SCHOOL,Lancaster,Los Angeles,25,4,,2592,629
EDGEWOOD HIGH SCHOOL,West Covina,Los Angeles,18,,,791,197
EDISON HIGH SCHOOL,Fresno,Fresno,62,21,13,2432,574
EDISON HIGH SCHOOL,Huntington Beach,Orange,55,10,7,2011,595
EDISON SENIOR HIGH SCHOOL,Stockton,San Joaquin,33,,,2414,629
EDWARD C MERLO INSTITUTE,Stockton,San Joaquin,6,,,216,58
EDWARD R ROYBAL LEARNING CNTR,Los Angeles,Los Angeles,26,5,,1143,246
EISENHOWER HIGH SCHOOL,Rialto,San Bernardino,37,,,2152,514
EL CAJON VALLEY HIGH SCHOOL,El Cajon,San Diego,15,5,,1672,454
EL CAMINO FUNDAMENTAL HS,Sacramento,Sacramento,27,,,1296,319
EL CAMINO HIGH,South San Francisco,San Mateo,61,5,4,1088,306
EL CAMINO HIGH SCHOOL,Oceanside,San Diego,38,,,2526,589
EL CAMINO HIGH SCHOOL,Ventura,Ventura,11,,,218,70
EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,109,8,3,3261,931
EL CAPITAN HIGH SCHOOL,Lakeside,San Diego,36,3,,1830,467
EL CAPITAN HIGH SCHOOL,Merced,Merced,41,11,6,1811,451
EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa,119,27,18,1476,363
EL DIAMANTE HIGH SCHOOL,Visalia,Tulare,26,5,,1942,468
EL DORADO HIGH SCHOOL,Placentia,Orange,51,4,,2009,501
EL DORADO HIGH SCHOOL,Placerville,El Dorado,18,,,1195,310
EL MODENA HIGH SCHOOL,Orange,Orange,29,3,,1914,474
EL MONTE HIGH SCHOOL,El Monte,Los Angeles,42,4,,1421,329
EL RANCHO HIGH SCHOOL,Pico Rivera,Los Angeles,50,11,3,2104,468
EL SEGUNDO HIGH SCHOOL,El Segundo,Los Angeles,106,12,7,1290,320
EL TORO HIGH SCHOOL,Lake Forest,Orange,52,,,1972,504
ELEANOR ROOSEVELT HIGH SCHOOL,Eastvale,Riverside,159,23,8,4464,1116
ELIZABETH LEARNING CENTER,Cudahy,Los Angeles,15,,,1322,131
ELK GROVE HIGH SCHOOL,Elk Grove,Sacramento,46,,,1692,449
ELSIE ALLEN HIGH SCHOOL,Santa Rosa,Sonoma,16,,,980,241
ELSINORE HIGH SCHOOL,Wildomar,Riverside,18,3,,2065,481
EMERY SECONDARY SCHOOL,Emeryville,Alameda,14,4,3,155,34
ENCINA HIGH SCHOOL,Sacramento,Sacramento,5,,,628,173
ENCINAL HIGH SCHOOL,Alameda,Alameda,62,5,4,1218,220
ENTERPRISE HIGH SCHOOL,Redding,Shasta,17,,,1158,266
ENVIRONMENTAL CHARTER HIGH SCH,Gardena,Los Angeles,7,,,490,122
ENVIRONMENTAL CHARTER HS LAWNDALE,Lawndale,Los Angeles,11,,,490,122
ENVISION ACAD ARTS/TECHNOLOGY,Oakland,Alameda,9,,,223,51
ERNEST RIGHETTI HIGH SCHOOL,Santa Maria,Santa Barbara,36,10,6,2424,613
ERNEST S MCBRIDE SR HIGH SCHL,Long Beach,Los Angeles,40,9,6,718,186
ESCALON HIGH SCHOOL,Escalon,San Joaquin,13,,,814,186
ESCONDIDO CHARTER HIGH SCHOOL,Escondido,San Diego,21,,,1771,505
ESCONDIDO HIGH SCHOOL,Escondido,San Diego,20,3,,1771,505
ESPARTO HIGH SCHOOL,Esparto,Yolo,6,,,281,65
ESPERANZA COLLEGE PREP,Los Angeles,Los Angeles,24,3,,505,124
ESPERANZA HIGH SCHOOL,Anaheim,Orange,36,4,,1406,309
ESTANCIA HIGH SCHOOL,Costa Mesa,Orange,15,,,1030,270
ETIWANDA HIGH SCHOOL,Etiwanda,San Bernardino,67,7,5,3540,920
EUREKA HIGH SCHOOL,Eureka,Humboldt,13,,,1226,293
EVEREST PUBLIC HIGH SCHOOL,Redwood City,San Mateo,11,,,281,74
EVERETT ALVAREZ HIGH SCHOOL,Salinas,Monterey,67,7,4,2072,520
EVERGREEN VALLEY HIGH SCHOOL,San Jose,Santa Clara,309,32,22,2749,745
EXCEL ACADEMY CHARTER SCH-HELENDALE,Irvine,Orange,5,,,,
EXCELSIOR CHARTER SCHL VICTORVILLE,Victorville,San Bernardino,5,,,2120,371
EXETER UNION HIGH SCHOOL,Exeter,Tulare,9,,,900,214
FAIRFAX HIGH SCHOOL,Los Angeles,Los Angeles,58,10,7,1524,403
FAIRFIELD HIGH SCHOOL,Fairfield,Solano,17,,,1560,332
FALLBROOK UNION HIGH SCHOOL,Fallbrook,San Diego,17,,,1900,481
FARMERSVILLE HIGH SCHOOL,Farmersville,Tulare,10,,,728,154
FELICITAS AND GONZALO MENDEZ HS,Los Angeles,Los Angeles,17,6,3,779,210
FILLMORE HIGH SCHOOL,Fillmore,Ventura,19,5,,992,231
FIREBAUGH HIGH SCHOOL,Firebaugh,Fresno,13,,,632,150
FLORIN HIGH SCHOOL,Sacramento,Sacramento,42,6,3,1663,351
FOLSOM HIGH SCHOOL,Folsom,Sacramento,144,8,6,2806,677
FONTANA HIGH SCHOOL,Fontana,San Bernardino,55,5,,2455,557
FOOTHILL HIGH SCHOOL,Bakersfield,Kern,15,,,2063,516
FOOTHILL HIGH SCHOOL,Palo Cedro,Shasta,8,,,1432,310
FOOTHILL HIGH SCHOOL,Pleasanton,Alameda,239,18,12,2208,565
FOOTHILL HIGH SCHOOL,Sacramento,Sacramento,32,,,1289,256
FOOTHILL HIGH SCHOOL,Santa Ana,Orange,75,12,5,2196,565
FOOTHILL TECHNOLOGY HS,Ventura,Ventura,44,3,,962,233
FORT BRAGG HIGH SCHOOL,Fort Bragg,Mendocino,20,,,521,122
FORTUNA UNION HIGH SCHOOL,Fortuna,Humboldt,8,,,871,205
FOSHAY LEARNING CENTER,Los Angeles,Los Angeles,33,6,,1624,186
FOUNTAIN VALLEY HIGH SCHOOL,Fountain Valley,Orange,146,15,5,3130,720
FOWLER HIGH SCHOOL,Fowler,Fresno,30,7,3,801,185
FRANCISCO BRAVO MEDICAL MAGNET,Los Angeles,Los Angeles,72,7,,1562,381
FRANKLIN HIGH SCHOOL,Elk Grove,Sacramento,131,14,8,2659,656
FRANKLIN HIGH SCHOOL,Stockton,San Joaquin,30,4,3,2188,476
FRED C BEYER HIGH SCHOOL,Modesto,Stanislaus,27,,,1590,406
FREEDOM HIGH SCHOOL,Oakley,Contra Costa,50,5,3,2478,587
FREMONT ACD ENGINEERING/DESIGN,Pomona,Los Angeles,8,,,631,73
FREMONT HIGH SCHOOL,Oakland,Alameda,40,,,1186,233
FREMONT HIGH SCHOOL,Sunnyvale,Santa Clara,145,8,5,2169,650
FRESNO HIGH SCHOOL,Fresno,Fresno,27,4,,2009,421
FRONTIER HIGH SCHOOL,Bakersfield,Kern,27,,,2030,502
FULLERTON UNION HIGH SCHOOL,Fullerton,Orange,39,4,,1848,442
FUTURES HIGH SCHOOL,Sacramento,Sacramento,6,,,475,79
GABRIELINO HIGH SCHOOL,San Gabriel,Los Angeles,102,12,4,1483,388
GALILEO ACAD OF SCIENCE & TECH,San Francisco,San Francisco,171,20,15,1741,440
GALT HIGH SCHOOL,Galt,Sacramento,14,,,963,223
GANESHA HIGH SCHOOL,Pomona,Los Angeles,14,3,,943,277
GARDEN GROVE HIGH SCHOOL,Garden Grove,Orange,77,14,,2198,606
GARDENA HIGH SCHOOL,Gardena,Los Angeles,19,4,,1407,377
GAREY HIGH SCHOOL,Pomona,Los Angeles,23,5,,1604,442
GATEWAY HIGH SCHOOL,San Francisco,San Francisco,47,5,3,475,120
GEORGE WASHINGTON HIGH SCHOOL,San Francisco,San Francisco,220,21,15,2008,501
GEORGE WASHINGTON PREPARATORY,Los Angeles,Los Angeles,20,,,775,157
GHIDOTTI EARLY COLLEGE HIGH SCHOOL,Grass Valley,Nevada,8,,,154,36
GILROY HIGH SCHOOL,Gilroy,Santa Clara,35,3,,1664,417
GIRLS ACADEMIC LEADERSHIP ACAD,Los Angeles,Los Angeles,40,7,,66,16
GLEN A WILSON HIGH SCHOOL,Hacienda Heights,Los Angeles,81,13,7,3452,820
GLENDALE HIGH SCHOOL,Glendale,Los Angeles,40,5,3,2006,492
GLENDORA HIGH SCHOOL,Glendora,Los Angeles,64,6,4,2151,557
GOLDEN VALLEY HIGH SCHOOL,Bakersfield,Kern,45,3,,2365,731
GOLDEN VALLEY HIGH SCHOOL,Merced,Merced,42,6,3,1955,490
GOLDEN VALLEY HIGH SCHOOL,Santa Clarita,Los Angeles,35,6,3,1993,490
GOLDEN WEST HIGH SCHOOL,Visalia,Tulare,17,,,2009,423
GOMPERS PREPARATORY ACADEMY,San Diego,San Diego,35,7,3,1229,158
GONZALES HIGH SCHOOL,Gonzales,Monterey,16,6,3,777,202
GRACE M DAVIS HIGH SCHOOL,Modesto,Stanislaus,39,5,3,2022,475
GRANADA HIGH SCHOOL,Livermore,Alameda,110,11,8,2234,584
GRANADA HILLS CHARTER HIGH SCH,Granada Hills,Los Angeles,293,34,12,6014,1143
GRAND TERRACE HIGH SCHOOL,Grand Terrace,San Bernardino,27,6,,1747,425
GRANITE BAY HIGH SCHOOL,Granite Bay,Placer,131,19,11,2005,492
GRANITE HILLS HIGH SCHOOL,Apple Valley,San Bernardino,27,4,,1734,425
GRANITE HILLS HIGH SCHOOL,El Cajon,San Diego,40,4,,2414,662
GRANITE HILLS HIGH SCHOOL,Porterville,Tulare,18,6,5,1168,248
GRANT UNION HIGH SCHOOL,Sacramento,Sacramento,42,9,,2016,448
GREAT OAK HIGH SCHOOL,Temecula,Riverside,120,11,9,3007,721
GREEN DESIGN STEAM ACADEMY,Los Angeles,Los Angeles,15,,,,
GREENFIELD HIGH SCHOOL,Greenfield,Monterey,30,,,1333,293
GRETCHEN WHITNEY HIGH SCHOOL,Cerritos,Los Angeles,119,23,13,1018,163
GRIDLEY HIGH SCHOOL,Gridley,Butte,6,,,644,152
GRIFFIN ACADEMY HIGH SCHOOL,Vallejo,Solano,9,,,178,33
GROSSMONT HIGH SCHOOL,El Cajon,San Diego,27,7,3,2079,558
GROVE HIGH SCHOOL,Redlands,San Bernardino,5,,,247,28
GUAJOME PARK ACADEMY,Vista,San Diego,9,,,1353,115
GUSTINE HIGH SCHOOL,Gustine,Merced,7,,,553,136
HALF MOON BAY HIGH SCHOOL,Half Moon Bay,San Mateo,46,7,4,987,272
HAMILTON UNION HIGH SCHOOL,Hamilton City,Glenn,8,,,293,69
HANFORD HIGH SCHOOL,Hanford,Kings,11,,,1494,351
HANFORD WEST HIGH SCHOOL,Hanford,Kings,21,5,,1336,299
HARBOR HIGH SCHOOL,Santa Cruz,Santa Cruz,35,7,,1040,275
HARMONY MAGNET ACADEMY,Strathmore,Tulare,15,5,,512,119
HAWTHORNE HIGH SCHOOL,Hawthorne,Los Angeles,31,,,1685,388
HAWTHORNE MATH & SCIENCE ACAD,Hawthorne,Los Angeles,33,6,,548,117
HAYFORK HIGH SCHOOL,Hayfork,Trinity,6,,,95,21
HAYWARD HIGH SCHOOL,Hayward,Alameda,40,,,1667,413
HAYWARD TWIN OAKS MONTESSORI,Hayward,Alameda,6,,,617,45
HEALDSBURG HIGH SCHOOL,Healdsburg,Sonoma,42,7,6,460,106
HEALTH CAREERS ACADEMY HS,Stockton,San Joaquin,30,3,3,404,92
HEALTH PROFESSIONS HIGH SCH,Sacramento,Sacramento,5,,,185,66
HEALTH SCIENCES HIGH/MID COLL,San Diego,San Diego,21,4,,528,127
HECTOR GODINEZ FUNDAMENTAL HS,Santa Ana,Orange,37,6,,1792,553
HELEN BERNSTEIN HIGH SCHOOL,Hollywood,Los Angeles,12,,,742,153
HELIX HIGH SCHOOL,La Mesa,San Diego,114,10,7,2544,599
HEMET HIGH SCHOOL,Hemet,Riverside,23,,,2402,574
HENRY J KAISER HIGH SCHOOL,Fontana,San Bernardino,32,8,5,1794,462
HENRY M GUNN SENIOR HIGH SCHL,Palo Alto,Santa Clara,261,40,18,1713,456
HENRY T GUNDERSON HIGH SCHOOL,San Jose,Santa Clara,25,3,,827,232
HERBERT HOOVER HIGH SCHOOL,Fresno,Fresno,28,,,2021,445
HERBERT HOOVER HIGH SCHOOL,Glendale,Los Angeles,44,,,1538,358
HERCULES HIGH SCHOOL,Hercules,Contra Costa,54,12,11,740,164
HERITAGE HIGH SCHOOL,Brentwood,Contra Costa,114,7,5,2641,675
HERITAGE HIGH SCHOOL,Menifee,Riverside,15,3,,2326,577
HERITAGE PEAK CHARTER SCHOOL,Rio Linda,Sacramento,7,,,1126,84
HESPERIA HIGH SCHOOL,Hesperia,San Bernardino,38,4,,2325,522
HIGH SCHOOL AT MOORPARK COLL,Moorpark,Ventura,10,,,101,25
HIGH TECH HIGH - NORTH COUNTY,San Marcos,San Diego,19,,,401,93
HIGH TECH HIGH CHULA VISTA,Chula Vista,San Diego,30,3,,1980,540
HIGH TECH HIGH INTERNATIONAL,San Diego,San Diego,18,4,3,487,139
HIGH TECH HIGH LA,Van Nuys,Los Angeles,24,,,1036,223
HIGH TECH HIGH MEDIA ARTS,San Diego,San Diego,23,6,3,384,92
HIGH TECH HIGH MESA,San Diego,San Diego,24,,,431,100
HIGH TECH HIGH SCHOOL,San Diego,San Diego,32,6,4,487,139
HIGHLAND HIGH SCHOOL,Bakersfield,Kern,27,,,2543,652
HIGHLAND HIGH SCHOOL,Palmdale,Los Angeles,39,4,,2778,764
HIGHLANDS HIGH SCHOOL,North Highlands,Sacramento,8,,,754,153
HILLCREST HIGH SCHOOL,Riverside,Riverside,27,4,3,1782,454
HILLSDALE HIGH SCHOOL,San Mateo,San Mateo,109,15,7,1581,417
HILLTOP HIGH SCHOOL,Chula Vista,San Diego,42,9,4,1841,491
HIRAM W JOHNSON HIGH SCHOOL,Sacramento,Sacramento,37,,,1627,432
HOLLISTER HIGH SCHOOL,Hollister,San Benito,62,6,4,3448,898
HOLLYWOOD HIGH SCHOOL,Los Angeles,Los Angeles,46,10,4,1052,278
HOLTVILLE HIGH SCHOOL,Holtville,Imperial,8,,,532,136
HOMESTEAD HIGH SCHOOL,Cupertino,Santa Clara,293,26,19,2262,596
HOOVER HIGH SCHOOL,San Diego,San Diego,62,13,4,2105,479
HUENEME HIGH SCHOOL,Oxnard,Ventura,21,3,,2080,522
HUGHSON HIGH SCHOOL,Hughson,Stanislaus,15,,,835,207
HUNTINGTON BEACH HIGH SCHOOL,Huntington Beach,Orange,114,22,13,2734,712
HUNTINGTON PARK HIGH SCHOOL,Huntington Park,Los Angeles,43,9,4,1431,331
HUNTINGTON PARK INST APPLD MEDICINE,Huntington Park,Los Angeles,20,7,,728,171
ICEF VIEW PARK PREPARATORY HIGH SCH,Los Angeles,Los Angeles,8,,,354,81
ILEAD EXPLORATION HYBRID,Acton,Los Angeles,10,4,,3551,174
IMPACT ACAD ARTS/TECHNOLOGY,Hayward,Alameda,33,5,,760,96
IMPERIAL HIGH SCHOOL,Imperial,Imperial,11,,,1378,294
INDEPENDENCE HIGH SCHOOL,Bakersfield,Kern,20,3,3,2334,579
INDEPENDENCE HIGH SCHOOL,Roseville,Placer,5,,,250,103
INDEPENDENCE HIGH SCHOOL,San Francisco,San Francisco,15,,,197,60
INDEPENDENCE HIGH SCHOOL,San Jose,Santa Clara,78,6,3,2368,628
INDERKUM HIGH SCHOOL,Sacramento,Sacramento,71,13,7,2242,577
INDIAN SPRINGS HIGH SCHOOL,San Bernardino,San Bernardino,37,5,,1829,386
INDIO HIGH SCHOOL,Indio,Riverside,28,6,3,2027,471
INGLEWOOD HIGH SCHOOL,Inglewood,Los Angeles,12,,,778,135
INSPIRE SCHOOL OF ARTS AND SCIENCES,Chico,Butte,5,,,357,89
INTERNATIONAL POLYTECHNIC HS,Pomona,Los Angeles,30,,,3954,958
INTERNATIONAL STUDIES LEARNING CTR,South Gate,Los Angeles,9,4,,,
INVICTUS ACADEMY OF RICHMOND,El Cerrito,Contra Costa,13,,,389,61
IRVINE HIGH SCHOOL,Irvine,Orange,175,14,8,1951,478
IRVINGTON HIGH SCHOOL,Fremont,Alameda,319,31,26,2161,546
JAMES A GARFIELD HIGH SCHOOL,Los Angeles,Los Angeles,61,11,5,2223,545
JAMES C ENOCHS HIGH SCHOOL,Modesto,Stanislaus,78,8,3,2369,607
JAMES LICK HIGH SCHOOL,San Jose,Santa Clara,15,4,,878,197
JAMES LOGAN HIGH SCHOOL,Union City,Alameda,174,19,14,3151,801
JAMES MONROE HIGH SCHOOL,North Hills,Los Angeles,59,,,1944,400
JEFFERSON HIGH SCHOOL,Daly City,San Mateo,48,3,,1071,266
JESSE M BETHEL HIGH SCHOOL,Vallejo,Solano,29,4,,1441,332
JOHANSEN HIGH SCHOOL,Modesto,Stanislaus,33,3,,2000,481
JOHN A ROWLAND HIGH SCHOOL,Rowland Heights,Los Angeles,77,11,5,1954,494
JOHN BURROUGHS HIGH SCHOOL,Burbank,Los Angeles,87,7,,2358,557
JOHN C FREMONT HIGH SCHOOL,Los Angeles,Los Angeles,35,6,,2002,465
JOHN C KIMBALL HIGH SCHOOL,Tracy,San Joaquin,72,5,3,1654,437
JOHN F KENNEDY HIGH SCHOOL,Fremont,Alameda,69,6,3,1273,333
JOHN F KENNEDY HIGH SCHOOL,Granada Hills,Los Angeles,65,7,3,2215,532
JOHN F KENNEDY HIGH SCHOOL,La Palma,Orange,45,4,3,2024,505
JOHN F KENNEDY HIGH SCHOOL,Richmond,Contra Costa,20,4,4,825,212
JOHN F KENNEDY HIGH SCHOOL,Sacramento,Sacramento,45,4,4,1888,566
JOHN F KENNEDY MIDDLE COLG HS,Norco,Riverside,44,5,4,689,170
JOHN GLENN HIGH SCHOOL,Norwalk,Los Angeles,15,3,,945,215
JOHN H PITMAN HIGH SCHOOL,Turlock,Stanislaus,47,6,3,1982,466
JOHN HENRY HIGH SCHOOL,Richmond,Contra Costa,19,3,3,285,68
JOHN MARSHALL FUNDAMENTAL SCH,Pasadena,Los Angeles,45,21,11,1848,245
JOHN MARSHALL HIGH SCHOOL,Los Angeles,Los Angeles,92,11,7,1903,438
JOHN MUIR HIGH SCHOOL,Pasadena,Los Angeles,30,4,,1133,272
JOHN O'CONNELL HIGH SCHOOL,San Francisco,San Francisco,6,,,483,106
JOHN RANCIS POLYTECHNIC HIGH SCHOOL,Sun Valley,Los Angeles,47,6,,2215,499
JOHN SWETT HIGH SCHOOL,Crockett,Contra Costa,14,,,375,91
JOHN W NORTH HIGH SCHOOL,Riverside,Riverside,43,10,4,2089,489
JORDAN HIGH SCHOOL,Long Beach,Los Angeles,40,3,,2207,458
JOSEPH A GREGORI HIGH SCHOOL,Modesto,Stanislaus,56,8,5,2414,674
JUAN RODRIGUEZ CABRILLO HS,Long Beach,Los Angeles,34,4,4,1721,435
JUNE JORDAN SCHOOL FOR EQUITY,San Francisco,San Francisco,5,,,206,51
JURUPA HILLS HIGH SCHOOL,Fontana,San Bernardino,24,3,,1737,373
JURUPA VALLEY HIGH SCHOOL,Jurupa Valley,Riverside,13,3,,1638,391
JUSTIN GARZA HIGH SCHOOL,Fresno,Fresno,23,4,,2073,431
KATELLA HIGH SCHOOL,Anaheim,Orange,48,,,2500,625
KEARNY COLLEGE CONNECTIONS,San Diego,San Diego,8,,,336,87
KEARNY DIGITAL MEDIA & DESIGN,San Diego,San Diego,7,,,341,84
KEARNY SCH BIOMED SCIENCE TECH,San Diego,San Diego,9,3,,335,99
KELSEYVILLE HIGH SCHOOL,Kelseyville,Lake,7,,,554,121
KERMAN HIGH SCHOOL,Kerman,Fresno,14,3,,1480,356
KING CITY JOINT UNION HS,King City,Monterey,15,3,,1200,299
KING DREW MAGNET HS MED/SCI,Los Angeles,Los Angeles,68,11,4,1359,304
KINGSBURG HIGH SCHOOL,Kingsburg,Fresno,15,4,,1101,258
KIPP ESPERANZA HIGH SCHOOL,East Palo Alto,San Mateo,14,,,241,72
KIPP KING COLLEGIATE HIGH SCH,San Lorenzo,Alameda,85,8,7,690,161
KIPP NAVIGATE COLLEGE PREP,San Jose,Santa Clara,24,,,310,59
KIPP SAN FRANCISCO COLG PREP,San Francisco,San Francisco,15,,,260,85
KIPP SAN JOSE COLLEGIATE,San Jose,Santa Clara,55,5,4,501,130
LA CANADA HIGH SCHOOL,La Canada,Los Angeles,170,21,7,2026,356
LA CENTER ENRICHED STUDIES,Los Angeles,Los Angeles,81,17,,1387,205
LA COSTA CANYON HIGH SCHOOL,Carlsbad,San Diego,51,6,4,1768,497
LA HABRA HIGH SCHOOL,La Habra,Orange,28,5,,1977,476
LA JOLLA HIGH,La Jolla,San Diego,118,22,10,1213,324
LA MIRADA HIGH SCHOOL,La Mirada,Los Angeles,40,4,,1748,396
LA PUENTE HIGH SCHOOL,La Puente,Los Angeles,14,,,865,210
LA QUINTA HIGH SCHOOL,La Quinta,Riverside,41,8,3,2488,563
LA QUINTA HIGH SCHOOL,Westminster,Orange,108,14,6,2065,528
LA SERNA HIGH SCHOOL,Whittier,Los Angeles,55,7,4,2385,599
LA SIERRA HIGH SCHOOL,Riverside,Riverside,25,4,,1461,345
LAGUNA BEACH HIGH SCHOOL,Laguna Beach,Orange,62,13,10,883,252
LAGUNA CREEK HIGH SCHOOL,Elk Grove,Sacramento,58,3,,2119,558
LAGUNA HILLS HIGH SCHOOL,Laguna Hills,Orange,49,7,,1401,356
LAKE BALBOA COLLEGE PREP K-12,Van Nuys,Los Angeles,13,4,,586,40
LAKESIDE HIGH SCHOOL,Lake Elsinore,Riverside,11,,,1657,357
LAKEWOOD HIGH SCHOOL,Lakewood,Los Angeles,47,3,,2580,660
LANCASTER HIGH SCHOOL,Lancaster,Los Angeles,27,4,,2697,653
LARCHMONT CHARTER SCHOOL,Los Angeles,Los Angeles,51,7,,1631,132
LAS LOMAS HIGH SCHOOL,Walnut Creek,Contra Costa,149,19,11,1568,385
LAS PLUMAS HIGH SCHOOL,Oroville,Butte,11,,,1299,315
LASSEN HIGH SCHOOL,Susanville,Lassen,5,,,805,183
LATHROP HIGH SCHOOL,Lathrop,San Joaquin,37,,,1509,404
LATINO COLLEGE PREP ACADEMY,San Jose,Santa Clara,25,4,,410,102
LATITUDE 37.8 HS MERRITT COLLEGE,Oakland,Alameda,23,3,,350,53
LAWNDALE HIGH SCHOOL,Lawndale,Los Angeles,44,10,4,1680,430
LE GRAND UNION HIGH SCHOOL,Le Grand,Merced,20,3,,462,103
LEADERSHIP PUBLIC SCH HAYWARD,Hayward,Alameda,45,6,6,557,146
LEADERSHIP PUBLIC SCH RICHMOND,Richmond,Contra Costa,31,7,3,525,127
LEGACY COLLEGE PREPARATORY,Santa Ana,Orange,25,,,905,75
LEGACY MAGNET ACADEMY,Tustin,Orange,46,7,,905,75
LEIGH HIGH SCHOOL,San Jose,Santa Clara,182,11,8,1816,427
LELAND HIGH SCHOOL,San Jose,Santa Clara,189,31,24,1519,384
LEMOORE MIDDLE COLLEGE HIGH SC,Lemoore,Kings,11,,,251,49
LEMOORE UNION HIGH SCHOOL,Lemoore,Kings,21,,,1825,401
LENNOX MATH SCIENCE TECH ACAD,Inglewood,Los Angeles,32,3,,583,142
LEROY GREENE ACADEMY,Sacramento,Sacramento,16,,,740,83
LEUZINGER HIGH SCHOOL,Lawndale,Los Angeles,46,3,,1924,498
LIBERTY HIGH SCHOOL,Bakersfield,Kern,40,7,3,2355,598
LIBERTY HIGH SCHOOL,Brentwood,Contra Costa,62,6,4,2773,687
LIBERTY HIGH SCHOOL,Madera,Madera,13,,,700,160
LIBERTY HIGH SCHOOL,Winchester,Riverside,32,5,,2444,450
LIBERTY RANCH HIGH SCHOOL,Galt,Sacramento,11,,,943,255
LIBRA ACADEMY AT LINDA MARQUEZ HS,Huntington Park,Los Angeles,22,8,3,644,151
LIFE ACADEMY HIGH SCHOOL,Oakland,Alameda,19,4,4,441,65
LIFELINE EDUCATION CHARTER SCH,Compton,Los Angeles,8,,,691,47
LIGHTHOUSE COMMUNITY CHAR HS,Oakland,Alameda,29,,,302,76
LINCOLN HIGH SCHOOL,Lincoln,Placer,13,,,1192,298
LINCOLN HIGH SCHOOL,San Diego,San Diego,33,5,,1480,374
LINCOLN HIGH SCHOOL,Stockton,San Joaquin,66,7,3,2891,703
LINDA MARQUEZ HS-SOCIAL JUSTICE,Huntington Park,Los Angeles,16,4,,591,132
LINDEN HIGH SCHOOL,Linden,San Joaquin,12,,,720,161
LINDHURST HIGH SCHOOL,Olivehurst,Yuba,14,3,3,1214,232
LINDSAY HIGH SCHOOL,Lindsay,Tulare,29,7,3,1109,253
LITTLEROCK HIGH SCHOOL,Littlerock,Los Angeles,10,,,1526,369
LIVE OAK HIGH SCHOOL,Live Oak,Sutter,10,,,591,142
LIVE OAK HIGH SCHOOL,Morgan Hill,Santa Clara,36,7,5,1111,248
LIVERMORE HIGH SCHOOL,Livermore,Alameda,67,8,5,1803,446
LIVINGSTON HIGH SCHOOL,Livingston,Merced,26,8,4,1141,268
LOARA HIGH SCHOOL,Anaheim,Orange,21,3,,1565,398
LODESTAR LIGHTHOUSE COMM CHARTER SC,Oakland,Alameda,15,,,739,52
LODI HIGH SCHOOL,Lodi,San Joaquin,25,9,4,1990,485
LOMPOC HIGH SCHOOL,Lompoc,Santa Barbara,24,5,,1649,373
LONG BEACH POLYTECHNIC HS,Long Beach,Los Angeles,165,37,20,3954,958
LOS ALAMITOS HIGH SCHOOL,Los Alamitos,Orange,139,23,9,3005,778
LOS ALTOS HIGH SCHOOL,Hacienda Heights,Los Angeles,31,3,3,1574,414
LOS ALTOS HIGH SCHOOL,Los Altos,Santa Clara,241,32,19,2114,505
LOS AMIGOS HIGH SCHOOL,Fountain Valley,Orange,36,7,,1437,358
LOS ANGELES COUNTY HS FOR THE ARTS,Los Angeles,Los Angeles,38,9,,551,136
LOS ANGELES HS OF THE ARTS,Los Angeles,Los Angeles,22,4,3,435,85
LOS ANGELES LEADERSHIP ACAD HS,Los Angeles,Los Angeles,8,,,349,47
LOS ANGELES SCHOOL GLOBAL STUDIES,Los Angeles,Los Angeles,6,,,310,50
LOS ANGELES SENIOR HIGH SCHOOL,Los Angeles,Los Angeles,38,7,,1036,223
LOS BANOS HIGH SCHOOL,Los Banos,Merced,27,5,,1543,364
LOS GATOS HIGH SCHOOL,Los Gatos,Santa Clara,207,18,14,1977,528
LOS OSOS HIGH SCHOOL,Rancho Cucamonga,San Bernardino,127,15,9,2759,739
LOWELL HIGH SCHOOL,San Francisco,San Francisco,363,42,29,2540,660
LOWER LAKE HIGH SCHOOL,Lower Lake,Lake,9,,,931,178
LPS OAKLAND R&D CAMPUS,Oakland,Alameda,5,,,218,72
LUIS VALDEZ LEADERSHIP ACADEMY,San Jose,Santa Clara,9,,,234,50
LUTHER BURBANK HIGH SCHOOL,Sacramento,Sacramento,37,,,1574,425
LYNBROOK HIGH SCHOOL,San Jose,Santa Clara,314,34,25,1720,448
LYNWOOD HIGH SCHOOL,Lynwood,Los Angeles,29,,,1882,409
