"Current Season","Month","Numerator","Population","Jurisdiction","Estimate","Age_group_label","Legend"
"2022-23","NOV","5","1906","U.S. Virgin Islands ","0.0026","6-23 months","2022-23, U.S. Virgin Islands : 6-23 months"
"2023-24","AUG","0","573613","Georgia","0","9-12 years","2023-24, Georgia: 9-12 years"
"2024-25","FEB","123119","601808","Nevada","0.2046","50-64 years","2024-25, Nevada: 50-64 years"
"2025-26","DEC",,,"Philadelphia",,"2-4 years","2025-26, Philadelphia: 2-4 years"
"2025-26","SEP",,,"Wisconsin",,"13-17 years","2025-26, Wisconsin: 13-17 years"
"2025-26","SEP",,,"New York State",,"5-8 years","2025-26, New York (excluding New York City): 5-8 years"
"2022-23","JUL",,,"Rhode Island",,"5-8 years","2022-23, Rhode Island: 5-8 years"
"2023-24","JUL","0","21436","U.S. Virgin Islands ","0","65+ years","2023-24, U.S. Virgin Islands : 65+ years"
"2023-24","MAR","5236","61824","Puerto Rico","0.0847","2-4 years","2023-24, Puerto Rico: 2-4 years"
"2023-24","MAY","32775","216374","Oklahoma","0.1515","5-8 years","2023-24, Oklahoma: 5-8 years"
"2024-25","JUL",,,"Massachusetts",,"50-64 years","2024-25, Massachusetts: 50-64 years"
"2024-25","MAY","96443","304078","Maryland","0.3172","5-8 years","2024-25, Maryland: 5-8 years"
"2024-25","OCT","194195","1540906","New York City","0.126","50-64 years","2024-25, New York City: 50-64 years"
"2024-25","OCT","39767","193973","Ohio","0.205","6-23 months","2024-25, Ohio: 6-23 months"
"2025-26","AUG","2784","702221","North Carolina","0.004","13-17 years","2025-26, North Carolina: 13-17 years"
"2025-26","DEC",,,"Florida",,"50-64 years","2025-26, Florida: 50-64 years"
"2025-26","JUL",,,"Puerto Rico",,"65+ years","2025-26, Puerto Rico: 65+ years"
"2025-26","NOV",,,"Philadelphia",,"6 months to 17 years","2025-26, Philadelphia: 6 months to 17 years"
"2022-23","JUN","158508","529147","Pennsylvania","0.2996","9-12 years","2022-23, Pennsylvania (excluding Philadelphia County): 9-12 years"
"2022-23","MAR","4851","29333","Puerto Rico","0.1654","6-23 months","2022-23, Puerto Rico: 6-23 months"
"2024-25","APR","19339","54471","Maine","0.355","5-8 years","2024-25, Maine: 5-8 years"
"2024-25","FEB","81072","350703","West Virginia","0.2312","50-64 years","2024-25, West Virginia: 50-64 years"
"2024-25","JUL","1116","7143153","California","0.0002","50-64 years","2024-25, California: 50-64 years"
"2022-23","AUG","1137","190890","Colorado","0.006","2-4 years","2022-23, Colorado: 2-4 years"
"2022-23","AUG","476","228430","Kentucky","0.0021","9-12 years","2022-23, Kentucky: 9-12 years"
"2023-24","SEP","2023","33151","Delaware","0.061","2-4 years","2023-24, Delaware: 2-4 years"
"2024-25","MAR",,,"Massachusetts",,"65+ years","2024-25, Massachusetts: 65+ years"
"2024-25","SEP","91624","2579296","California","0.0355","13-17 years","2024-25, California: 13-17 years"
"2022-23","JAN","13116","52044","Mississippi","0.252","6-23 months","2022-23, Mississippi: 6-23 months"
"2022-23","JUL","7","215862","Oklahoma","0","5-8 years","2022-23, Oklahoma: 5-8 years"
"2022-23","MAR","51583","98279","Minnesota","0.5249","6-23 months","2022-23, Minnesota: 6-23 months"
"2022-23","OCT","84470","510587","Pennsylvania","0.1654","5-8 years","2022-23, Pennsylvania (excluding Philadelphia County): 5-8 years"
"2022-23","OCT",,,"Kansas",,"18+ years","2022-23, Kansas: 18+ years"
"2023-24","APR","3784263","18004510","Florida","0.2102","18+ years","2023-24, Florida: 18+ years"
"2023-24","FEB","43184","90463","Wisconsin","0.4774","6-23 months","2023-24, Wisconsin: 6-23 months"
"2023-24","FEB","26201","56246","Maine","0.4658","9-12 years","2023-24, Maine: 9-12 years"
"2023-24","JUN","21465","106154","Wyoming","0.2022","50-64 years","2023-24, Wyoming: 50-64 years"
"2025-26","DEC","6810","23351","District of Columbia","0.2916","2-4 years","2025-26, District of Columbia: 2-4 years"
"2022-23","MAY","507392","1937927","California","0.2618","5-8 years","2022-23, California: 5-8 years"
"2022-23","MAY","10557","25706","Vermont","0.4107","5-8 years","2022-23, Vermont: 5-8 years"
"2022-23","SEP",,,"Rhode Island",,"18-49 years","2022-23, Rhode Island: 18-49 years"
"2023-24","DEC","12196","46411","Delaware","0.2628","5-8 years","2023-24, Delaware: 5-8 years"
"2023-24","SEP","109356","1653759","New Mexico","0.0661","18+ years","2023-24, New Mexico: 18+ years"
"2024-25","APR","553360","2288918","North Carolina","0.2418","6 months to 17 years","2024-25, North Carolina: 6 months to 17 years"
"2024-25","MAY",,,"Massachusetts",,"6 months to 17 years","2024-25, Massachusetts: 6 months to 17 years"
"2024-25","NOV","488428","1982945","New Jersey","0.2463","6 months to 17 years","2024-25, New Jersey: 6 months to 17 years"
"2025-26","DEC","5994","36696","N. Mariana Islands","0.1633","18+ years","2025-26, N. Mariana Islands: 18+ years"
"2025-26","NOV",,,"Vermont",,"5-8 years","2025-26, Vermont: 5-8 years"
"2022-23","JUN","911","11951","Guam","0.0762","9-12 years","2022-23, Guam: 9-12 years"
"2022-23","NOV","141","2781","Federated States of Micronesia","0.0507","6-23 months","2022-23, Federated States of Micronesia: 6-23 months"
"2023-24","AUG","6369","1233511","Maryland","0.0052","50-64 years","2023-24, Maryland: 50-64 years"
"2025-26","NOV","802172","1974069","North Carolina","0.4064","65+ years","2025-26, North Carolina: 65+ years"
"2025-26","OCT",,,"Kansas",,"13-17 years","2025-26, Kansas: 13-17 years"
"2022-23","JUN","293851","1669691","Texas","0.176","5-8 years","2022-23, Texas: 5-8 years"
"2022-23","OCT","107214","1331084","Nevada","0.0805","18-49 years","2022-23, Nevada: 18-49 years"
"2023-24","AUG","1348","393640","Delaware","0.0034","18-49 years","2023-24, Delaware: 18-49 years"
"2023-24","OCT","857","12188","N. Mariana Islands","0.0703","50-64 years","2023-24, N. Mariana Islands: 50-64 years"
"2023-24","OCT",,,"Rhode Island",,"6-23 months","2023-24, Rhode Island: 6-23 months"
"2023-24","OCT","459340","3514450","Louisiana","0.1307","18+ years","2023-24, Louisiana: 18+ years"
"2024-25","MAY","8866","26506","Vermont","0.3345","9-12 years","2024-25, Vermont: 9-12 years"
"2025-26","OCT","59639","775289","Georgia","0.0769","13-17 years","2025-26, Georgia: 13-17 years"
"2022-23","DEC","127946","394302","New York City","0.3245","5-8 years","2022-23, New York City: 5-8 years"
"2023-24","APR","15246","212292","Mississippi","0.0718","13-17 years","2023-24, Mississippi: 13-17 years"
"2023-24","JUL","1","28847","District of Columbia","0","13-17 years","2023-24, District of Columbia: 13-17 years"
"2023-24","JUN","1129651","5780637","Arizona","0.1954","18+ years","2023-24, Arizona: 18+ years"
"2023-24","MAR","150699","708300","Oklahoma","0.2128","50-64 years","2023-24, Oklahoma: 50-64 years"
"2024-25","DEC","242243","1552957","Arizona","0.156","6 months to 17 years","2024-25, Arizona: 6 months to 17 years"
"2024-25","NOV","52302","399428","Delaware","0.1309","18-49 years","2024-25, Delaware: 18-49 years"
"2022-23","FEB",,,"Nebraska",,"18+ years","2022-23, Nebraska: 18+ years"
"2022-23","JUL","8","52301","Guam","0.0002","6 months to 17 years","2022-23, Guam: 6 months to 17 years"
"2023-24","AUG",,,"Chicago",,"2-4 years","2023-24, Chicago: 2-4 years"
"2023-24","AUG","3789","875307","Kentucky","0.0043","50-64 years","2023-24, Kentucky: 50-64 years"
"2023-24","JUL","27","2289749","New York State","0","6 months to 17 years","2023-24, New York (excluding New York City): 6 months to 17 years"
"2023-24","MAY","111493","485708","Washington","0.2295","13-17 years","2023-24, Washington: 13-17 years"
"2023-24","MAY","537448","4461669","North Carolina","0.1205","18-49 years","2023-24, North Carolina: 18-49 years"
"2024-25","FEB","76","4191","Republic of Palau","0.0181","50-64 years","2024-25, Republic of Palau: 50-64 years"
"2024-25","FEB","68996","174513","New York State","0.3954","6-23 months","2024-25, New York (excluding New York City): 6-23 months"
"2023-24","APR","9509","25553","Vermont","0.3721","5-8 years","2023-24, Vermont: 5-8 years"
"2023-24","JUL","6","52114","Guam","0.0001","6 months to 17 years","2023-24, Guam: 6 months to 17 years"
"2023-24","MAY","162606","707555","Pennsylvania","0.2298","13-17 years","2023-24, Pennsylvania (excluding Philadelphia County): 13-17 years"
"2023-24","MAY","87468","387840","Wisconsin","0.2255","13-17 years","2023-24, Wisconsin: 13-17 years"
"2025-26","AUG","5017","1879428","Kentucky","0.0027","18-49 years","2025-26, Kentucky: 18-49 years"
"2022-23","FEB","20216","38639","Maine","0.5232","2-4 years","2022-23, Maine: 2-4 years"
"2022-23","FEB","280084","1669691","Texas","0.1677","5-8 years","2022-23, Texas: 5-8 years"
"2022-23","SEP","899","16964","Montana","0.053","6-23 months","2022-23, Montana: 6-23 months"
"2023-24","NOV","1078715","2148185","Illinois","0.5022","65+ years","2023-24, Illinois: 65+ years"
"2025-26","JUL",,,"Maine",,"65+ years","2025-26, Maine: 65+ years"
"2022-23","MAY","130548","584752","Ohio","0.2233","9-12 years","2022-23, Ohio: 9-12 years"
"2022-23","NOV","13320","155821","Mississippi","0.0855","9-12 years","2022-23, Mississippi: 9-12 years"
"2023-24","AUG",,,"Nebraska",,"65+ years","2023-24, Nebraska: 65+ years"
"2024-25","JUL",,,"Chicago",,"9-12 years","2024-25, Chicago: 9-12 years"
"2024-25","JUN","668723","1613747","New York City","0.4144","6 months to 17 years","2024-25, New York City: 6 months to 17 years"
"2022-23","MAY","0","772736","Georgia","0","13-17 years","2022-23, Georgia: 13-17 years"
"2022-23","OCT","1227","16628","Guam","0.0738","65+ years","2022-23, Guam: 65+ years"
"2023-24","SEP","12810","337720","North Dakota","0.0379","18-49 years","2023-24, North Dakota: 18-49 years"
"2023-24","DEC","387983","1178650","Wisconsin","0.3292","50-64 years","2023-24, Wisconsin: 50-64 years"
"2023-24","JAN","2640","9133","Wyoming","0.2891","6-23 months","2023-24, Wyoming: 6-23 months"
"2024-25","DEC","6866","30080","District of Columbia","0.2283","13-17 years","2024-25, District of Columbia: 13-17 years"
"2024-25","JUL","1","58832","Puerto Rico","0","2-4 years","2024-25, Puerto Rico: 2-4 years"
"2024-25","MAY","33253","112741","Iowa","0.295","2-4 years","2024-25, Iowa: 2-4 years"
"2025-26","AUG",,,"Nebraska",,"9-12 years","2025-26, Nebraska: 9-12 years"
"2022-23","MAY","22180","142213","Idaho","0.156","13-17 years","2022-23, Idaho: 13-17 years"
"2022-23","MAY","753334","3921049","Alabama","0.1921","18+ years","2022-23, Alabama: 18+ years"
"2022-23","NOV","67757","277235","Wisconsin","0.2444","5-8 years","2022-23, Wisconsin: 5-8 years"
"2022-23","OCT","3855","17639","Vermont","0.2185","2-4 years","2022-23, Vermont: 2-4 years"
"2023-24","FEB","55028","549695","New Hampshire","0.1001","18-49 years","2023-24, New Hampshire: 18-49 years"
"2023-24","JUL","6","485708","Washington","0","13-17 years","2023-24, Washington: 13-17 years"
"2023-24","NOV","50744","669590","Mississippi","0.0758","6 months to 17 years","2023-24, Mississippi: 6 months to 17 years"
"2024-25","AUG","202","97855","New Mexico","0.0021","5-8 years","2024-25, New Mexico: 5-8 years"
"2024-25","AUG","9898","1023662","Minnesota","0.0097","65+ years","2024-25, Minnesota: 65+ years"
"2024-25","JUL","1","386550","Wisconsin","2.587e-06","13-17 years","2024-25, Wisconsin: 13-17 years"
"2024-25","MAY","4006","40915","Wyoming","0.0979","13-17 years","2024-25, Wyoming: 13-17 years"
"2022-23","AUG","8997","3768485","New Jersey","0.0024","18-49 years","2022-23, New Jersey: 18-49 years"
"2022-23","FEB",,,"Hawaii",,"9-12 years","2022-23, Hawaii: 9-12 years"
"2022-23","JUN","47995","93444","Wisconsin","0.5136","6-23 months","2022-23, Wisconsin: 6-23 months"
"2023-24","APR","654586","990361","Minnesota","0.661","65+ years","2023-24, Minnesota: 65+ years"
"2023-24","JAN","87299","308874","Maryland","0.2826","9-12 years","2023-24, Maryland: 9-12 years"
"2025-26","SEP","55761","562842","Arkansas","0.0991","65+ years","2025-26, Arkansas: 65+ years"
"2022-23","NOV","0","361","Republic of Palau","0","6-23 months","2022-23, Republic of Palau: 6-23 months"
"2022-23","SEP","30314","710446","Pennsylvania","0.0427","13-17 years","2022-23, Pennsylvania (excluding Philadelphia County): 13-17 years"
"2023-24","APR","32922","219715","Oklahoma","0.1498","9-12 years","2023-24, Oklahoma: 9-12 years"
"2023-24","AUG","9188","2255038","Mississippi","0.0041","18+ years","2023-24, Mississippi: 18+ years"
"2023-24","OCT","95484","1100833","Alabama","0.0867","6 months to 17 years","2023-24, Alabama: 6 months to 17 years"
"2023-24","OCT","106741","531700","Vermont","0.2008","18+ years","2023-24, Vermont: 18+ years"
"2024-25","DEC","10262","80844","West Virginia","0.1269","9-12 years","2024-25, West Virginia: 9-12 years"
"2025-26","AUG",,,"Utah",,"2-4 years","2025-26, Utah: 2-4 years"
"2022-23","MAR","46206","131866","North Dakota","0.3504","50-64 years","2022-23, North Dakota: 50-64 years"
"2022-23","NOV","1357307","4569598","Colorado","0.297","18+ years","2022-23, Colorado: 18+ years"
"2023-24","JUL","41","669590","Mississippi","0.0001","6 months to 17 years","2023-24, Mississippi: 6 months to 17 years"
"2024-25","OCT","3727","36465","N. Mariana Islands","0.1022","18+ years","2024-25, N. Mariana Islands: 18+ years"
"2022-23","AUG","17121","1353250","Arizona","0.0127","65+ years","2022-23, Arizona: 65+ years"
"2022-23","DEC","31145","215862","Oklahoma","0.1443","5-8 years","2022-23, Oklahoma: 5-8 years"
"2022-23","DEC","133973","330526","Philadelphia","0.4053","6 months to 17 years","2022-23, Philadelphia: 6 months to 17 years"
"2022-23","JAN","371330","3006667","Arizona","0.1235","18-49 years","2022-23, Arizona: 18-49 years"
"2022-23","MAY","275451","636446","California","0.4328","6-23 months","2022-23, California: 6-23 months"
"2023-24","DEC","968","7396","Federated States of Micronesia","0.1309","5-8 years","2023-24, Federated States of Micronesia: 5-8 years"
"2024-25","DEC","0","1549","Republic of Palau","0","13-17 years","2024-25, Republic of Palau: 13-17 years"
"2025-26","DEC",,,"Mississippi",,"65+ years","2025-26, Mississippi: 65+ years"
"2022-23","NOV","80164","457315","New Mexico","0.1753","6 months to 17 years","2022-23, New Mexico: 6 months to 17 years"
"2022-23","OCT","184569","1294628","Iowa","0.1426","18-49 years","2022-23, Iowa: 18-49 years"
"2022-23","OCT","229612","1582502","New York City","0.1451","50-64 years","2022-23, New York City: 50-64 years"
"2023-24","AUG","4","11952","Guam","0.0003","9-12 years","2023-24, Guam: 9-12 years"
"2024-25","DEC","2562","97058","Puerto Rico","0.0264","5-8 years","2024-25, Puerto Rico: 5-8 years"
"2024-25","JUL","3","171228","Alaska","0","6 months to 17 years","2024-25, Alaska: 6 months to 17 years"
"2025-26","JUL",,,"New Hampshire",,"50-64 years","2025-26, New Hampshire: 50-64 years"
"2022-23","AUG","18","36030","South Dakota","0.0005","2-4 years","2022-23, South Dakota: 2-4 years"
"2022-23","FEB","36014","281174","Oklahoma","0.1281","13-17 years","2022-23, Oklahoma: 13-17 years"
"2022-23","MAY","37273","281174","Oklahoma","0.1326","13-17 years","2022-23, Oklahoma: 13-17 years"
"2022-23","MAY","236910","552969","Texas","0.4284","6-23 months","2022-23, Texas: 6-23 months"
"2023-24","JAN",,,"Houston",,"65+ years","2023-24, Houston: 65+ years"
"2025-26","SEP",,,"Alabama",,"65+ years","2025-26, Alabama: 65+ years"
"2022-23","JUL",,,"Massachusetts",,"5-8 years","2022-23, Massachusetts: 5-8 years"
"2022-23","MAR","4233","29234","Marshall Islands","0.1448","6 months to 17 years","2022-23, Marshall Islands: 6 months to 17 years"
"2022-23","MAR","64681","311411","Missouri","0.2077","9-12 years","2022-23, Missouri: 9-12 years"
"2024-25","JUN","123917","560734","Alaska","0.221","18+ years","2024-25, Alaska: 18+ years"
"2025-26","JUL",,,"Massachusetts",,"9-12 years","2025-26, Massachusetts: 9-12 years"
"2025-26","OCT",,,"Rhode Island",,"13-17 years","2025-26, Rhode Island: 13-17 years"
"2022-23","OCT","59931","678553","Nevada","0.0883","6 months to 17 years","2022-23, Nevada: 6 months to 17 years"
"2023-24","APR","218708","408613","New Mexico","0.5352","65+ years","2023-24, New Mexico: 65+ years"
"2023-24","FEB","44823","220527","Iowa","0.2033","13-17 years","2023-24, Iowa: 13-17 years"
"2023-24","OCT","752","7396","Federated States of Micronesia","0.1017","5-8 years","2023-24, Federated States of Micronesia: 5-8 years"
"2024-25","FEB",,,"South Carolina",,"50-64 years","2024-25, South Carolina: 50-64 years"
"2024-25","SEP","30697","605612","New Jersey","0.0507","13-17 years","2024-25, New Jersey: 13-17 years"
"2025-26","JUL",,,"Connecticut",,"6 months to 17 years","2025-26, Connecticut: 6 months to 17 years"
"2025-26","NOV",,,"Maryland",,"6-23 months","2025-26, Maryland: 6-23 months"
"2022-23","JUL",,,"Houston",,"65+ years","2022-23, Houston: 65+ years"
"2022-23","JUN","108318","788827","Idaho","0.1373","18-49 years","2022-23, Idaho: 18-49 years"
"2022-23","OCT","144246","1669691","Texas","0.0864","5-8 years","2022-23, Texas: 5-8 years"
"2023-24","JAN","1458","49953","Marshall Islands","0.0292","18+ years","2023-24, Marshall Islands: 18+ years"
"2023-24","JUN",,,"Chicago",,"6-23 months","2023-24, Chicago: 6-23 months"
"2023-24","SEP","1787","50677","North Dakota","0.0353","13-17 years","2023-24, North Dakota: 13-17 years"
"2024-25","AUG","0","1697554","Georgia","0","65+ years","2024-25, Georgia: 65+ years"
"2024-25","FEB","542990","2563141","Maryland","0.2118","18-49 years","2024-25, Maryland: 18-49 years"
"2024-25","MAY","71536","258422","Philadelphia","0.2768","50-64 years","2024-25, Philadelphia: 50-64 years"
"2025-26","NOV",,,"Iowa",,"18-49 years","2025-26, Iowa: 18-49 years"
"2022-23","MAY","81373","220150","Maryland","0.3696","2-4 years","2022-23, Maryland: 2-4 years"
"2022-23","NOV","72991","334090","Idaho","0.2185","50-64 years","2022-23, Idaho: 50-64 years"
"2023-24","JUL","25","1870893","Michigan","0","65+ years","2023-24, Michigan: 65+ years"
"2023-24","OCT","147976","777920","Oregon","0.1902","50-64 years","2023-24, Oregon: 50-64 years"
"2024-25","AUG","6028","77435","Maine","0.0778","13-17 years","2024-25, Maine: 13-17 years"
"2024-25","SEP","19533","343218","Florida","0.0569","6-23 months","2024-25, Florida: 6-23 months"
"2022-23","JUN","401183","3006667","Arizona","0.1334","18-49 years","2022-23, Arizona: 18-49 years"
"2022-23","MAY","1497271","5219323","Indiana","0.2869","18+ years","2022-23, Indiana: 18+ years"
"2022-23","OCT",,,"Virginia",,"50-64 years","2022-23, Virginia: 50-64 years"
"2022-23","SEP","13777","454922","Idaho","0.0303","6 months to 17 years","2022-23, Idaho: 6 months to 17 years"
"2023-24","APR","46207","101712","Alaska","0.4543","65+ years","2023-24, Alaska: 65+ years"
"2023-24","JUL","14","861856","New Mexico","0","18-49 years","2023-24, New Mexico: 18-49 years"
"2023-24","NOV","606928","2418106","Illinois","0.251","50-64 years","2023-24, Illinois: 50-64 years"
"2025-26","JUL",,,"Nevada",,"18+ years","2025-26, Nevada: 18+ years"
"2022-23","MAR","527214","1126491","Maine","0.468","18+ years","2022-23, Maine: 18+ years"
"2023-24","APR","187478","596388","North Dakota","0.3144","18+ years","2023-24, North Dakota: 18+ years"
"2023-24","AUG","245","75213","Philadelphia","0.0033","5-8 years","2023-24, Philadelphia: 5-8 years"
"2023-24","JAN",,,"South Carolina",,"50-64 years","2023-24, South Carolina: 50-64 years"
"2023-24","MAR","51760","287574","Utah","0.18","13-17 years","2023-24, Utah: 13-17 years"
"2023-24","NOV",,,"Houston",,"9-12 years","2023-24, Houston: 9-12 years"
"2024-25","APR","47532","191394","Oregon","0.2483","9-12 years","2024-25, Oregon: 9-12 years"
"2022-23","JUN","282951","524655","Arkansas","0.5393","65+ years","2022-23, Arkansas: 65+ years"
"2022-23","OCT","31567","252123","Indiana","0.1252","2-4 years","2022-23, Indiana: 2-4 years"
"2024-25","AUG",,,"Chicago",,"2-4 years","2024-25, Chicago: 2-4 years"
"2024-25","MAR","911","4602","Guam","0.198","6-23 months","2024-25, Guam: 6-23 months"
"2025-26","JUL",,,"New Hampshire",,"18-49 years","2025-26, New Hampshire: 18-49 years"
"2022-23","AUG","96","281174","Oklahoma","0.0003","13-17 years","2022-23, Oklahoma: 13-17 years"
"2022-23","AUG","4339","1428349","Washington","0.003","50-64 years","2022-23, Washington: 50-64 years"
"2022-23","OCT","3167","114939","Guam","0.0276","18+ years","2022-23, Guam: 18+ years"
"2023-24","JUN","553355","2532557","Ohio","0.2185","6 months to 17 years","2023-24, Ohio: 6 months to 17 years"
"2024-25","APR","124","3814","U.S. Virgin Islands ","0.0325","2-4 years","2024-25, U.S. Virgin Islands : 2-4 years"
"2024-25","MAR","631","8363","Marshall Islands","0.0755","50-64 years","2024-25, Marshall Islands: 50-64 years"
"2024-25","OCT","94975","1254131","Arkansas","0.0757","18-49 years","2024-25, Arkansas: 18-49 years"
"2025-26","SEP",,,"New Mexico",,"9-12 years","2025-26, New Mexico: 9-12 years"
"2022-23","MAY","0","390953","Georgia","0","2-4 years","2022-23, Georgia: 2-4 years"
"2023-24","AUG","10108","3066679","Arizona","0.0033","18-49 years","2023-24, Arizona: 18-49 years"
"2023-24","FEB","37004","103072","Missouri","0.359","6-23 months","2023-24, Missouri: 6-23 months"
"2023-24","JUN","154326","2060860","Alabama","0.0749","18-49 years","2023-24, Alabama: 18-49 years"
"2023-24","JUN","954158","3498104","Kentucky","0.2728","18+ years","2023-24, Kentucky: 18+ years"
"2023-24","OCT","315911","1638759","New York City","0.1928","6 months to 17 years","2023-24, New York City: 6 months to 17 years"
"2023-24","OCT","327277","811056","Oregon","0.4035","65+ years","2023-24, Oregon: 65+ years"
"2024-25","AUG","48","146448","Mississippi","0.0003","5-8 years","2024-25, Mississippi: 5-8 years"
"2024-25","OCT","15037","215246","Oklahoma","0.0699","5-8 years","2024-25, Oklahoma: 5-8 years"
"2022-23","FEB",,,"Virginia",,"6 months to 17 years","2022-23, Virginia: 6 months to 17 years"
"2022-23","JUL",,,"Hawaii",,"6-23 months","2022-23, Hawaii: 6-23 months"
"2022-23","OCT","29005","324096","Alaska","0.0895","18-49 years","2022-23, Alaska: 18-49 years"
"2023-24","JUL","674","54732","Maine","0.0123","5-8 years","2023-24, Maine: 5-8 years"
"2023-24","OCT","370574","2347892","New York State","0.1578","50-64 years","2023-24, New York (excluding New York City): 50-64 years"
"2022-23","DEC","58","4775","Republic of Palau","0.0121","6 months to 17 years","2022-23, Republic of Palau: 6 months to 17 years"
"2022-23","FEB","39289","105625","Missouri","0.372","6-23 months","2022-23, Missouri: 6-23 months"
"2022-23","JAN","2007664","6061645","Washington","0.3312","18+ years","2022-23, Washington: 18+ years"
"2022-23","MAR","27539","84501","Louisiana","0.3259","6-23 months","2022-23, Louisiana: 6-23 months"
"2023-24","MAR","351","8274","Marshall Islands","0.0424","13-17 years","2023-24, Marshall Islands: 13-17 years"
"2024-25","MAR","1891824","8531737","North Carolina","0.2217","18+ years","2024-25, North Carolina: 18+ years"
"2022-23","APR","630931","2347037","Wisconsin","0.2688","18-49 years","2022-23, Wisconsin: 18-49 years"
"2022-23","MAY","46445","120073","Tennessee","0.3868","6-23 months","2022-23, Tennessee: 6-23 months"
"2023-24","APR","360216","1889753","New Jersey","0.1906","50-64 years","2023-24, New Jersey: 50-64 years"
"2023-24","AUG","43975","8782478","Florida","0.005","18-49 years","2023-24, Florida: 18-49 years"
"2023-24","JAN",,,"Houston",,"2-4 years","2023-24, Houston: 2-4 years"
"2023-24","NOV","61978","205777","Delaware","0.3012","50-64 years","2023-24, Delaware: 50-64 years"
"2023-24","SEP","0","2213","Republic of Palau","0","65+ years","2023-24, Republic of Palau: 65+ years"
"2024-25","APR","925","4602","Guam","0.201","6-23 months","2024-25, Guam: 6-23 months"
"2024-25","JUL","0","3939","American Samoa","0","13-17 years","2024-25, American Samoa: 13-17 years"
"2024-25","JUL","169","4517440","New York State","0","18-49 years","2024-25, New York (excluding New York City): 18-49 years"
"2024-25","JUN","579419","2703696","Colorado","0.2143","18-49 years","2024-25, Colorado: 18-49 years"
"2025-26","DEC",,,"Philadelphia",,"18-49 years","2025-26, Philadelphia: 18-49 years"
"2022-23","JUN","11459","50019","North Dakota","0.2291","13-17 years","2022-23, North Dakota: 13-17 years"
"2022-23","JUN","152660","227461","Philadelphia","0.6711","65+ years","2022-23, Philadelphia: 65+ years"
"2022-23","MAR","3428346","5974887","California","0.5738","65+ years","2022-23, California: 65+ years"
"2022-23","MAY","102697","650311","Michigan","0.1579","13-17 years","2022-23, Michigan: 13-17 years"
"2022-23","NOV","61151","351854","Indiana","0.1738","5-8 years","2022-23, Indiana: 5-8 years"
"2022-23","NOV","116375","442697","New Jersey","0.2629","5-8 years","2022-23, New Jersey: 5-8 years"
"2022-23","OCT","0","550975","Georgia","0","5-8 years","2022-23, Georgia: 5-8 years"
"2023-24","JUL","34","771669","Louisiana","0","65+ years","2023-24, Louisiana: 65+ years"
"2024-25","APR",,,"Nebraska",,"13-17 years","2024-25, Nebraska: 13-17 years"
"2024-25","MAY","2920504","9917992","Illinois","0.2945","18+ years","2024-25, Illinois: 18+ years"
"2025-26","NOV",,,"Chicago",,"50-64 years","2025-26, Chicago: 50-64 years"
"2025-26","SEP",,,"Iowa",,"18-49 years","2025-26, Iowa: 18-49 years"
"2023-24","JUL","423","7213121","California","0.0001","50-64 years","2023-24, California: 50-64 years"
"2024-25","JUL","0","87713","Alabama","0","6-23 months","2024-25, Alabama: 6-23 months"
"2024-25","JUL","100","1667320","New Mexico","0.0001","18+ years","2024-25, New Mexico: 18+ years"
"2024-25","JUN","51098","289544","Utah","0.1765","13-17 years","2024-25, Utah: 13-17 years"
"2024-25","JUN","45858","105530","Alaska","0.4345","65+ years","2024-25, Alaska: 65+ years"
"2024-25","JUN","8872","26506","Vermont","0.3347","9-12 years","2024-25, Vermont: 9-12 years"
"2024-25","MAR","13883","53777","Arkansas","0.2582","6-23 months","2024-25, Arkansas: 6-23 months"
"2024-25","MAY","285030","674038","Oklahoma","0.4229","65+ years","2024-25, Oklahoma: 65+ years"
"2025-26","OCT","13180","79610","Kentucky","0.1656","6-23 months","2025-26, Kentucky: 6-23 months"
"2022-23","AUG","1709","414287","Ohio","0.0041","2-4 years","2022-23, Ohio: 2-4 years"
"2022-23","AUG","1031","1064086","Louisiana","0.001","6 months to 17 years","2022-23, Louisiana: 6 months to 17 years"
"2022-23","AUG","533","98121","Alaska","0.0054","65+ years","2022-23, Alaska: 65+ years"
"2022-23","JAN","43664","114864","Vermont","0.3801","6 months to 17 years","2022-23, Vermont: 6 months to 17 years"
"2022-23","NOV","169816","865811","Louisiana","0.1961","50-64 years","2022-23, Louisiana: 50-64 years"
"2022-23","SEP","19184","310918","Maryland","0.0617","9-12 years","2022-23, Maryland: 9-12 years"
"2023-24","DEC","322173","1474824","Idaho","0.2184","18+ years","2023-24, Idaho: 18+ years"
"2023-24","MAR","536","5019","Marshall Islands","0.1068","2-4 years","2023-24, Marshall Islands: 2-4 years"
"2024-25","MAR",,,"Kansas",,"18-49 years","2024-25, Kansas: 18-49 years"
"2024-25","NOV","194329","767024","Oregon","0.2534","50-64 years","2024-25, Oregon: 50-64 years"
"2024-25","SEP","110994","1393059","Washington","0.0797","50-64 years","2024-25, Washington: 50-64 years"
"2025-26","DEC",,,"Oregon",,"18-49 years","2025-26, Oregon: 18-49 years"
"2022-23","MAR","8293","36258","Montana","0.2287","2-4 years","2022-23, Montana: 2-4 years"
"2023-24","APR","12535","51961","Mississippi","0.2412","6-23 months","2023-24, Mississippi: 6-23 months"
