"Current Season","Month","Numerator","Population","Jurisdiction","Estimate","Age_group_label","Legend"
"2022-23","OCT","47297","335566","North Dakota","0.1409","18-49 years","2022-23, North Dakota: 18-49 years"
"2023-24","SEP","1224","36282","Vermont","0.0337","13-17 years","2023-24, Vermont: 13-17 years"
"2025-26","OCT",,,"U.S. Virgin Islands ",,"6-23 months","2025-26, U.S. Virgin Islands : 6-23 months"
"2022-23","APR",,,"Chicago",,"13-17 years","2022-23, Chicago: 13-17 years"
"2022-23","JUL","0","7634","American Samoa","0","50-64 years","2022-23, American Samoa: 50-64 years"
"2022-23","MAY","44637","535088","Puerto Rico","0.0834","6 months to 17 years","2022-23, Puerto Rico: 6 months to 17 years"
"2023-24","AUG","80","216374","Oklahoma","0.0004","5-8 years","2023-24, Oklahoma: 5-8 years"
"2023-24","FEB","16752","79706","New Hampshire","0.2102","13-17 years","2023-24, New Hampshire: 13-17 years"
"2023-24","JAN","351","5462","Federated States of Micronesia","0.0643","2-4 years","2023-24, Federated States of Micronesia: 2-4 years"
"2023-24","OCT","337131","2337523","Minnesota","0.1442","18-49 years","2023-24, Minnesota: 18-49 years"
"2024-25","DEC","34735","163199","Iowa","0.2128","9-12 years","2024-25, Iowa: 9-12 years"
"2023-24","APR","4662","27923","Puerto Rico","0.167","6-23 months","2023-24, Puerto Rico: 6-23 months"
"2025-26","JUL",,,"Chicago",,"18-49 years","2025-26, Chicago: 18-49 years"
"2022-23","JUN","1079158","1822027","Michigan","0.5923","65+ years","2022-23, Michigan: 65+ years"
"2022-23","MAY","341145","2254616","Mississippi","0.1513","18+ years","2022-23, Mississippi: 18+ years"
